month,lead_organisation,organisation_type,donor,sector,education_level,monitoring_indicator,main_activity,implementing_partner,county,sub_county,start_date,end_date,activity_status,boys,girls,men,women,beneficiary_type,total_reached,comments,source,number_schools,adm1_pcode,indicator_short,sector_reached
July,Finn Church Aid,International NGO,UNHCR,Education,Secondary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Junior Secondary learners supported to access schools,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,936,627,0,0,Vulnerable Residents,1563,Junior Secondary learners supported to access schools,5W_ Education_July 2023 Report_fca.xlsx,7,KE023,1. Access ECD spaces/schools,1563
July,Finn Church Aid,International NGO,UNHCR,Education,Secondary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Secondary school learners supported to access schools,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,3001,1200,0,0,Vulnerable Residents,4201,Secondary school learners supported to access schools,5W_ Education_July 2023 Report_fca.xlsx,2,KE023,1. Access ECD spaces/schools,4201
July,Finn Church Aid,International NGO,UNHCR,Education,ECE,indicator 2 # of schools/ECD spaces with feeding programmes,ECE learners accessing school meals with support from WFP and Government for Host Schools,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,2193,2050,0,0,Vulnerable Residents,4243,ECE learners accessing school meals with support from WFP and Government for Host Schools,5W_ Education_July 2023 Report_fca.xlsx,8,KE023,2. Feeding programmes,4243
July,Finn Church Aid,International NGO,UNHCR,Education,Primary,indicator 2 # of schools/ECD spaces with feeding programmes,Primary learners accessing school meals with support from WFP and government for host schools,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,10763,8326,0,0,Vulnerable Residents,19089,Primary learners accessing school meals with support from WFP and government for host schools,5W_ Education_July 2023 Report_fca.xlsx,8,KE023,2. Feeding programmes,19089
July,Finn Church Aid,International NGO,UNHCR,Education,Secondary,indicator 2 # of schools/ECD spaces with feeding programmes,Junior Secondary learners accessing school meals will support from WFP and Government for Host schools,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,936,627,0,0,Vulnerable Residents,1563,Junior Secondary learners accessing school meals will support from WFP and Government for Host schools,5W_ Education_July 2023 Report_fca.xlsx,8,KE023,2. Feeding programmes,1563
July,Finn Church Aid,International NGO,BPRM,Education,ECE & Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Teachers trained on PSS,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,0,0,20,22,Vulnerable Residents,42,Teachers trained on PSS,5W_ Education_July 2023 Report_fca.xlsx,8,KE023,6. Children resilience enhancing,42
July,Finn Church Aid,International NGO,BPRM,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Learners trained on life skills 469(298B:171G), Group counselling 65(10B:55G) and individual counselling  6(2M:4F)",Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,310,230,0,0,Vulnerable Residents,540,"Learners trained on life skills 469(298B:171G), Group counselling 65(10B:55G) and individual counselling  6(2M:4F)",5W_ Education_July 2023 Report_fca.xlsx,8,KE023,6. Children resilience enhancing,540
July,Finn Church Aid,International NGO,UNICEF,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","BOMs trained on resource mobilization, accountability,  mental health and PSS",Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,0,0,33,47,Vulnerable Residents,80,BOMs trained on resource mobilsation and monitoring quality standards of ECE centres.,5W_ Education_July 2023 Report_fca.xlsx,7,KE023,5. Educators resilience enhancing,80
July,Finn Church Aid,International NGO,UNICEF,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","ECE teachers trained on CBC, basic counselling skills, mental health and pyschosocial supoort.",Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,0,0,9,22,Vulnerable Residents,31,"31(9M,22F) ECD teachers, with 6(5F,1M) host and 25(8M,17F) refugees were trained on CBC, PSS and mental health.",5W_ Education_July 2023 Report_fca.xlsx,7,KE023,5. Educators resilience enhancing,31
July,Finn Church Aid,International NGO,UNICEF,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Teachers trained on CBC/CBA, PSS and mental health management",Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,0,0,63,15,Vulnerable Residents,78,"78(63M,15F) primary teachers with 63(53M,10F) refugees and 15(10M,5F) host participated in a 3 day session aimed at enlightening them on CBC implementation, PSS, mental health",5W_ Education_July 2023 Report_fca.xlsx,6,KE023,5. Educators resilience enhancing,78
July,Finn Church Aid,International NGO,UNICEF,Education,All Basic Education,indicator 3 # of learners and teachers reached with learning and  teaching materials,The 6 primary schools and 2 secondary schools were supported with teaching and learning materials.,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,10224,7580,3001,1065,Vulnerable Residents,21870,Total number of learners enrolled in the FCA primary and secondary schools benefitting from teaching and learning materials supplied by UNICEF in the month of July.,5W_ Education_July 2023 Report_fca.xlsx,8,KE023,3. Teaching materials,0
July,Finn Church Aid,International NGO,UNICEF,Education,Vocational,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Youth currently enrolled and undertaking digital marketing and web design courses.,Finn Church Aid,Turkana,Turkana West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,0,0,41,19,Vulnerable Residents,60,Learners undertaking 3 months digital marketing and web design training.,5W_ Education_July 2023 Report_fca.xlsx,2,KE023,6. Children resilience enhancing,60
July,Finn Church Aid,International NGO,UNICEF,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Conducted the training of Headteachers & Guiding and Counselling teachers on mentorship and child protection from Kacheliba Sub County.,Finn Church Aid,West Pokot,Kacheliba,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,0,0,24,8,Vulnerable Residents,32,Conducted the training of Headteachers & Guiding and Counselling teachers on mentorship and child protection from Kacheliba Sub County.,5W_ Education_July 2023 Report_fca.xlsx,NA,KE024,5. Educators resilience enhancing,32
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",NA,NA,Completed,73,50,NA,NA,NA,123,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,60,KE010,1. Access ECD spaces/schools,123
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Support accelerated education program for out of school children and youths in Marsabit,Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",NA,NA,Completed,120,96,NA,NA,NA,216,Accelerated Education program,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,60,KE010,1. Access ECD spaces/schools,216
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Training of teachers on MHPPS,Save the Children,Wajir,Eldas and Buna,NA,NA,Completed,22,3,NA,NA,NA,25,Teachers trained on MHPSS and child protection activties,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,15,KE008,5. Educators resilience enhancing,25
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Learners trained on school Based mentorship,Save the Children,Wajir,NA,NA,NA,Completed,1377,1152,NA,NA,NA,2529,Learners provided with mentorship to support retention,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,135,KE008,6. Children resilience enhancing,2529
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Women Educational Researchers of Kenya,Tana River,"Tana River, Tana North, Bangal",NA,NA,Completed,230,197,NA,NA,NA,427,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,66,KE004,1. Access ECD spaces/schools,427
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",training of teachers on inclusive education,County Director of Education Marsabit,Marsabit,Laisamis and Moyale,NA,NA,Completed,162,24,NA,NA,NA,186,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,77,KE010,5. Educators resilience enhancing,186
July,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Women Educational Researchers of Kenya,Tana River,"Tana River, Tana North, Bangal",NA,NA,Completed,230,197,NA,NA,NA,427,Enrolment of OOSC back to school,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,66,KE004,1. Access ECD spaces/schools,427
July,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",children trained on school based mentoship,Women Educational Researchers of Kenya,Tana River,"Tana River, Tana North, Bangal",NA,NA,Completed,2500,2750,NA,NA,NA,5250,NA,5W_ UNICEF_GZO input  July  2023 Report 31072023.xlsx,66,KE004,6. Children resilience enhancing,5250
July,Save the Children,International NGO,ECHO,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Mental Health and Psychosocial Support for Accelerated Education Learners and child protection & GBV support and referral for the vulnerable children,Save the Children,Garissa,Dadaab,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,65,83,0,0,Refugees,148,These are the number of boys and girls reached through psychosocial counselling and lifeskills,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,1,KE007,6. Children resilience enhancing,148
July,Save the Children,International NGO,ECHO,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Mental Health and Psychosocial Support for Accelerated Education Learners and child protection & GBV support and referral for the vulnerable children,Save the Children,Garissa,Dadaab,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,10,28,0,0,Refugees,38,These are the number of boys and girls reached through psychosocial counselling and lifeskills,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,1,KE007,6. Children resilience enhancing,38
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Conduct an OOSC enrolment campaign through child-to-child, door-to-door approaches and public gatherings (barazas)",Save the Children,Turkana,Turkana North,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,221,164,11,6,Vulnerable Residents,402,"Grassroot structures such as the enrollement committees(ECDS), and the national government representatives (chiefs), conducted enrollement drive campaigns where 33 oosc were enrolled in diffeent schools with the two project target sub-counties.",Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE023,1. Access ECD spaces/schools,402
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Conduct an OOSC enrolment campaign through child-to-child, door-to-door approaches and public gatherings (barazas)",Save the Children,Turkana,Kibish,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,268,211,NA,NA,Vulnerable Residents,479,"Grassroot structures such as the enrollement committees(ECDS), and the national government representatives (chiefs), conducted enrollement drive campaigns where 33 oosc were enrolled in diffeent schools with the two project target sub-counties.",Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE023,1. Access ECD spaces/schools,479
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Provide Teachers' incentives to support largely understaffed schools and accelerated education programmes for late-entry/over aged OOSC,Save the Children,Wajir,Habasweine,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,2,2,Vulnerable Residents,4,Recruited incentive teachers have been trained on the best pedagogy of conducting this remedial/ catch up lesson and have received their monthly incentives,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,5. Educators resilience enhancing,4
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Provide Teachers' incentives to support largely understaffed schools and accelerated education programmes for late-entry/over aged OOSC,Save the Children,Wajir,Bute,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,2,1,Vulnerable Residents,3,Recruited incentive teachers have been trained on the best pedagogy of conducting this remedial/ catch up lesson and have received their monthly incentives,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,5. Educators resilience enhancing,3
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Provide Teachers' incentives to support largely understaffed schools and accelerated education programmes for late-entry/over aged OOSC,Save the Children,Wajir,Eldas,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,3,1,Vulnerable Residents,4,Recruited incentive teachers have been trained on the best pedagogy of conducting this remedial/ catch up lesson and have received their monthly incentives,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,5. Educators resilience enhancing,4
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Provide Teachers' incentives to support largely understaffed schools and accelerated education programmes for late-entry/over aged OOSC,Save the Children,Wajir,Sabuli,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,3,1,Vulnerable Residents,4,Recruited incentive teachers have been trained on the best pedagogy of conducting this remedial/ catch up lesson and have received their monthly incentives,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,5. Educators resilience enhancing,4
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Provide Teachers' incentives to support largely understaffed schools and accelerated education programmes for late-entry/over aged OOSC,Save the Children,Wajir,Buna,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,3,1,Vulnerable Residents,4,Recruited incentive teachers have been trained on the best pedagogy of conducting this remedial/ catch up lesson and have received their monthly incentives,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,5. Educators resilience enhancing,4
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Provide Teachers' incentives to support largely understaffed schools and accelerated education programmes for late-entry/over aged OOSC,Save the Children,Wajir,Korondile,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,3,1,Vulnerable Residents,4,Recruited incentive teachers have been trained on the best pedagogy of conducting this remedial/ catch up lesson and have received their monthly incentives,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,5. Educators resilience enhancing,4
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Provide Teachers' incentives to support largely understaffed schools and accelerated education programmes for late-entry/over aged OOSC,Save the Children,Baringo,Marigat,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,2,1,Vulnerable Residents,3,3 recruited teachers have received incentives and training to support remedial and catch up classes,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE030,5. Educators resilience enhancing,3
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Provide Teachers' incentives to support largely understaffed schools and accelerated education programmes for late-entry/over aged OOSC,Save the Children,Baringo,Tiaty West,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,2,1,Vulnerable Residents,3,4 recruited teachers have received incentives and training to support remedial and catch up classes,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE030,5. Educators resilience enhancing,3
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Provide Teachers' incentives to support largely understaffed schools and accelerated education programmes for late-entry/over aged OOSC,Save the Children,Turkana,Kibish,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,5,4,Vulnerable Residents,9,9 BOM teachers supported with incentives to support EAP program to over aged/late entry OOSC,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE023,5. Educators resilience enhancing,9
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Provide Teachers' incentives to support largely understaffed schools and accelerated education programmes for late-entry/over aged OOSC,Save the Children,Turkana,Turkana North,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,NA,NA,5,4,Vulnerable Residents,9,9 BOM teachers supported with incentives to support EAP program to over aged/late entry OOSC,Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE023,5. Educators resilience enhancing,9
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Provide psychosocial support to OOS girls and boys affected by early marriage, early pregnancy, drugs, substance abuse, child labour, FGM/SRGBV",Save the Children,Wajir,Habasweine,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,44,56,NA,NA,Vulnerable Residents,100,"OOSC girls and boys benefited mental health and psychosocial service in the school. Representative teachers of this school have been trained on MHPSS and providing this service to schools, the service will help this newly enrolled children to develop shock and become resilient to any challenge faced while in schools hence improve in retention of children in schools",Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,6. Children resilience enhancing,100
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Provide psychosocial support to OOS girls and boys affected by early marriage, early pregnancy, drugs, substance abuse, child labour, FGM/SRGBV",Save the Children,Wajir,Bute,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,36,44,NA,NA,Vulnerable Residents,80,"OOSC girls and boys benefited mental health and psychosocial service in the school of Eldas pry, Dela pry, Elnur pry, Habasweine pry and Tosorie pry. Representative teachers of this school have been trained on MHPSS and providing this service to schools, the service will help this newly enrolled children to develop shock and become resilient to any challenge faced while in schools hence improve in retention of children in schools",Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,6. Children resilience enhancing,80
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Provide psychosocial support to OOS girls and boys affected by early marriage, early pregnancy, drugs, substance abuse, child labour, FGM/SRGBV",Save the Children,Wajir,Eldas,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,65,75,NA,NA,Vulnerable Residents,140,"OOSC girls and boys benefited mental health and psychosocial service in the school of Eldas pry, Dela pry, Elnur pry, Habasweine pry and Tosorie pry. Representative teachers of this school have been trained on MHPSS and providing this service to schools, the service will help this newly enrolled children to develop shock and become resilient to any challenge faced while in schools hence improve in retention of children in schools",Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,6. Children resilience enhancing,140
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Provide psychosocial support to OOS girls and boys affected by early marriage, early pregnancy, drugs, substance abuse, child labour, FGM/SRGBV",Save the Children,Wajir,Sabuli,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,25,27,NA,NA,Vulnerable Residents,52,"OOSC girls and boys benefited mental health and psychosocial service in the school of Eldas pry, Dela pry, Elnur pry, Habasweine pry and Tosorie pry. Representative teachers of this school have been trained on MHPSS and providing this service to schools, the service will help this newly enrolled children to develop shock and become resilient to any challenge faced while in schools hence improve in retention of children in schools",Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,6. Children resilience enhancing,52
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Provide psychosocial support to OOS girls and boys affected by early marriage, early pregnancy, drugs, substance abuse, child labour, FGM/SRGBV",Save the Children,Wajir,Buna,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,32,35,NA,NA,Vulnerable Residents,67,"OOSC girls and boys benefited mental health and psychosocial service in the school of Eldas pry, Dela pry, Elnur pry, Habasweine pry and Tosorie pry. Representative teachers of this school have been trained on MHPSS and providing this service to schools, the service will help this newly enrolled children to develop shock and become resilient to any challenge faced while in schools hence improve in retention of children in schools",Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,6. Children resilience enhancing,67
July,Save the Children,International NGO,UNICEF OOSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Provide psychosocial support to OOS girls and boys affected by early marriage, early pregnancy, drugs, substance abuse, child labour, FGM/SRGBV",Save the Children,Wajir,Korondile,2023-07-01T00:00:00Z,2023-07-01T00:00:00Z,Completed,26,38,NA,NA,Vulnerable Residents,64,"OOSC girls and boys benefited mental health and psychosocial service in the school of Eldas pry, Dela pry, Elnur pry, Habasweine pry and Tosorie pry. Representative teachers of this school have been trained on MHPSS and providing this service to schools, the service will help this newly enrolled children to develop shock and become resilient to any challenge faced while in schools hence improve in retention of children in schools",Copy of 5W_ Education_Jul 2023 Report_save_the_children.xlsx,NA,KE008,6. Children resilience enhancing,64
