month,indicator,county,adm1_pcode,reached
March,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kilifi,KE003,1343
March,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kwale,KE002,2000
March,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Narok,KE033,11674
March,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Samburu,KE025,229
March,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,222
March,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Wajir,KE008,2050
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Baringo,KE030,169
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Garissa,KE007,1914
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Isiolo,KE011,833
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Kajiado,KE034,1926
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Kilifi,KE003,89
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Kwale,KE002,359
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Narok,KE033,200
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Samburu,KE025,1580
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Tana River,KE004,557
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Turkana,KE023,28919
May,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Wajir,KE008,403
May,indicator 2 # of schools/ECD spaces with feeding programmes,Marsabit,KE010,7763
May,indicator 2 # of schools/ECD spaces with feeding programmes,Meru,KE012,6621
May,indicator 2 # of schools/ECD spaces with feeding programmes,Turkana,KE023,491
May,indicator 3 # of learners and teachers reached with learning and  teaching materials,Marsabit,KE010,22871
May,indicator 3 # of learners and teachers reached with learning and  teaching materials,Meru,KE012,985
May,indicator 3 # of learners and teachers reached with learning and  teaching materials,Narok,KE033,3259
May,indicator 3 # of learners and teachers reached with learning and  teaching materials,Turkana,KE023,19382
May,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Marsabit,KE010,15095
May,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Meru,KE012,650
May,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Garissa,KE007,80
May,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Marsabit,KE010,30
May,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Samburu,KE025,176
May,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,288
May,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Baringo,KE030,351
May,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Garissa,KE007,1461
May,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kajiado,KE034,3288
May,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Samburu,KE025,8447
May,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Tana River,KE004,3769
May,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,698
May,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Wajir,KE008,190
