county,month,sub_indicator,unicef_indicator_number,unicef_indicator,sex_modifier,beneficiary_group,age_modifier,value
Baringo,January,indicator3_refugees_girls,3,3. Children who receive assistance to continue learning,female,refugees,children,0
Baringo,January,indicator3_cwd_boys,3,3. Children who receive assistance to continue learning,male,cwd,children,0
Baringo,January,indicator3_cwd_girls,3,3. Children who receive assistance to continue learning,female,cwd,children,0
Baringo,January,indicator4_host_community_male,4,4. Teachers trained resilience programmes,male,host_community,adults,0
Baringo,January,indicator4_host_community_female,4,4. Teachers trained resilience programmes,female,host_community,adults,0
Baringo,January,indicator4_idps_male,4,4. Teachers trained resilience programmes,male,idps,adults,0
Baringo,January,indicator4_idps_female,4,4. Teachers trained resilience programmes,female,idps,adults,0
Baringo,January,indicator4_refugees_male,4,4. Teachers trained resilience programmes,male,refugees,adults,0
Baringo,January,indicator4_refugees_female,4,4. Teachers trained resilience programmes,female,refugees,adults,0
Baringo,January,indicator5_host_community_male,5,5. BoM trained resilience programmes,male,host_community,adults,105
Baringo,January,indicator5_host_community_female,5,5. BoM trained resilience programmes,female,host_community,adults,28
Baringo,January,indicator5_idps_male,5,5. BoM trained resilience programmes,male,idps,adults,0
Baringo,January,indicator5_idps_female,5,5. BoM trained resilience programmes,female,idps,adults,0
Baringo,January,indicator5_refugees_male,5,5. BoM trained resilience programmes,male,refugees,adults,0
Baringo,January,indicator5_refugees_female,5,5. BoM trained resilience programmes,female,refugees,adults,0
Baringo,January,indicator6_male,6,6. Govt. officials trained,male,NA,adults,0
Baringo,January,indicator6_female,6,6. Govt. officials trained,female,NA,adults,0
Baringo,January,indicator7_host_community_boys,7,7. Children life skills mentorship,male,host_community,children,0
Baringo,January,indicator7_host_community_girls,7,7. Children life skills mentorship,female,host_community,children,0
Baringo,January,indicator7_idps_boys,7,7. Children life skills mentorship,male,idps,children,0
Baringo,January,indicator7_idps_girls,7,7. Children life skills mentorship,female,idps,children,0
Baringo,January,indicator7_refugees_boys,7,7. Children life skills mentorship,male,refugees,children,0
Baringo,January,indicator7_refugees_girls,7,7. Children life skills mentorship,female,refugees,children,0
Baringo,January,indicator7_cwd_boys,7,7. Children life skills mentorship,male,cwd,children,0
Baringo,January,indicator7_cwd_girls,7,7. Children life skills mentorship,female,cwd,children,0
Baringo,January,indicator1_all_total_children,1,1. OOSC accessing formal education,total,all,children,163
Baringo,January,indicator1_all_boys,1,1. OOSC accessing formal education,male,all,children,97
Baringo,January,indicator1_all_girls,1,1. OOSC accessing formal education,female,all,children,66
Baringo,January,indicator1_host_community_total_children,1,1. OOSC accessing formal education,total,host_community,children,163
Baringo,January,indicator1_idps_total_children,1,1. OOSC accessing formal education,total,idps,children,0
Baringo,January,indicator1_refugees_total_children,1,1. OOSC accessing formal education,total,refugees,children,0
Baringo,January,indicator1_cwd_total_children,1,1. OOSC accessing formal education,total,cwd,children,0
Baringo,January,indicator2_all_total_children,2,2. Children benefiting from child-friendly environment,total,all,children,0
Baringo,January,indicator2_all_boys,2,2. Children benefiting from child-friendly environment,male,all,children,0
Baringo,January,indicator2_all_girls,2,2. Children benefiting from child-friendly environment,female,all,children,0
Baringo,January,indicator2_host_community_total_children,2,2. Children benefiting from child-friendly environment,total,host_community,children,0
Baringo,January,indicator2_idps_total_children,2,2. Children benefiting from child-friendly environment,total,idps,children,0
Baringo,January,indicator2_refugees_total_children,2,2. Children benefiting from child-friendly environment,total,refugees,children,0
Baringo,January,indicator2_cwd_total_children,2,2. Children benefiting from child-friendly environment,total,cwd,children,0
Baringo,January,indicator3_all_total_children,3,3. Children who receive assistance to continue learning,total,all,children,0
Baringo,January,indicator3_all_boys,3,3. Children who receive assistance to continue learning,male,all,children,0
Baringo,January,indicator3_all_girls,3,3. Children who receive assistance to continue learning,female,all,children,0
Baringo,January,indicator3_host_community_total_children,3,3. Children who receive assistance to continue learning,total,host_community,children,0
Baringo,January,indicator3_idps_total_children,3,3. Children who receive assistance to continue learning,total,idps,children,0
Baringo,January,indicator3_refugees_total_children,3,3. Children who receive assistance to continue learning,total,refugees,children,0
Baringo,January,indicator3_cwd_total_children,3,3. Children who receive assistance to continue learning,total,cwd,children,0
Baringo,January,indicator4_all_total_adults,4,4. Teachers trained resilience programmes,total,all,adults,0
Baringo,January,indicator4_all_male,4,4. Teachers trained resilience programmes,male,all,adults,0
Baringo,January,indicator4_all_female,4,4. Teachers trained resilience programmes,female,all,adults,0
Baringo,January,indicator4_host_community_total_adults,4,4. Teachers trained resilience programmes,total,host_community,adults,0
Baringo,January,indicator4_idps_total_adults,4,4. Teachers trained resilience programmes,total,idps,adults,0
Baringo,January,indicator4_refugees_total_adults,4,4. Teachers trained resilience programmes,total,refugees,adults,0
Baringo,January,indicator5_all_total_adults,5,5. BoM trained resilience programmes,total,all,adults,133
Baringo,January,indicator5_all_male,5,5. BoM trained resilience programmes,male,all,adults,105
Baringo,January,indicator5_all_female,5,5. BoM trained resilience programmes,female,all,adults,28
Baringo,January,indicator5_host_community_total_adults,5,5. BoM trained resilience programmes,total,host_community,adults,133
Baringo,January,indicator5_idps_total_adults,5,5. BoM trained resilience programmes,total,idps,adults,0
Baringo,January,indicator5_refugees_total_adults,5,5. BoM trained resilience programmes,total,refugees,adults,0
Baringo,January,indicator6_all_total_adults,6,6. Govt. officials trained,total,all,adults,0
Baringo,January,indicator7_all_total_children,7,7. Children life skills mentorship,total,all,children,0
Baringo,January,indicator7_all_boys,7,7. Children life skills mentorship,male,all,children,0
Baringo,January,indicator7_all_girls,7,7. Children life skills mentorship,female,all,children,0
Baringo,January,indicator7_host_community_total_children,7,7. Children life skills mentorship,total,host_community,children,0
Baringo,January,indicator7_idps_total_children,7,7. Children life skills mentorship,total,idps,children,0
Baringo,January,indicator7_refugees_total_children,7,7. Children life skills mentorship,total,refugees,children,0
Baringo,January,indicator7_cwd_total_children,7,7. Children life skills mentorship,total,cwd,children,0
Baringo,February,indicator1_host_community_boys,1,1. OOSC accessing formal education,male,host_community,children,0
Baringo,February,indicator1_host_community_girls,1,1. OOSC accessing formal education,female,host_community,children,0
Baringo,February,indicator1_idps_boys,1,1. OOSC accessing formal education,male,idps,children,0
Baringo,February,indicator1_idps_girls,1,1. OOSC accessing formal education,female,idps,children,0
Baringo,February,indicator1_refugees_boys,1,1. OOSC accessing formal education,male,refugees,children,0
Baringo,February,indicator1_refugees_girls,1,1. OOSC accessing formal education,female,refugees,children,0
Baringo,February,indicator1_cwd_boys,1,1. OOSC accessing formal education,male,cwd,children,0
Baringo,February,indicator1_cwd_girls,1,1. OOSC accessing formal education,female,cwd,children,0
Baringo,February,indicator2_host_community_boys,2,2. Children benefiting from child-friendly environment,male,host_community,children,0
Baringo,February,indicator2_host_community_girls,2,2. Children benefiting from child-friendly environment,female,host_community,children,0
Baringo,February,indicator2_idps_boys,2,2. Children benefiting from child-friendly environment,male,idps,children,0
Baringo,February,indicator2_idps_girls,2,2. Children benefiting from child-friendly environment,female,idps,children,0
Baringo,February,indicator2_refugees_boys,2,2. Children benefiting from child-friendly environment,male,refugees,children,0
Baringo,February,indicator2_refugees_girls,2,2. Children benefiting from child-friendly environment,female,refugees,children,0
Baringo,February,indicator2_cwd_boys,2,2. Children benefiting from child-friendly environment,male,cwd,children,0
Baringo,February,indicator2_cwd_girls,2,2. Children benefiting from child-friendly environment,female,cwd,children,0
Baringo,February,indicator2_new_latrines,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,February,indicator2_rehabiltated_latrines,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,February,indicator2_new_classrooms,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,February,indicator2_rehabilitated_classrooms,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,February,indicator3_host_community_boys,3,3. Children who receive assistance to continue learning,male,host_community,children,0
Baringo,February,indicator3_host_community_girls,3,3. Children who receive assistance to continue learning,female,host_community,children,0
Baringo,February,indicator3_idps_boys,3,3. Children who receive assistance to continue learning,male,idps,children,0
Baringo,February,indicator3_idps_girls,3,3. Children who receive assistance to continue learning,female,idps,children,0
Baringo,February,indicator3_refugees_boys,3,3. Children who receive assistance to continue learning,male,refugees,children,0
Baringo,February,indicator3_refugees_girls,3,3. Children who receive assistance to continue learning,female,refugees,children,0
Baringo,February,indicator3_cwd_boys,3,3. Children who receive assistance to continue learning,male,cwd,children,0
Baringo,February,indicator3_cwd_girls,3,3. Children who receive assistance to continue learning,female,cwd,children,0
Baringo,February,indicator4_host_community_male,4,4. Teachers trained resilience programmes,male,host_community,adults,0
Baringo,February,indicator4_host_community_female,4,4. Teachers trained resilience programmes,female,host_community,adults,0
Baringo,February,indicator4_idps_male,4,4. Teachers trained resilience programmes,male,idps,adults,0
Baringo,February,indicator4_idps_female,4,4. Teachers trained resilience programmes,female,idps,adults,0
Baringo,February,indicator4_refugees_male,4,4. Teachers trained resilience programmes,male,refugees,adults,0
Baringo,February,indicator4_refugees_female,4,4. Teachers trained resilience programmes,female,refugees,adults,0
Baringo,February,indicator5_host_community_male,5,5. BoM trained resilience programmes,male,host_community,adults,0
Baringo,February,indicator5_host_community_female,5,5. BoM trained resilience programmes,female,host_community,adults,0
Baringo,February,indicator5_idps_male,5,5. BoM trained resilience programmes,male,idps,adults,0
Baringo,February,indicator5_idps_female,5,5. BoM trained resilience programmes,female,idps,adults,0
Baringo,February,indicator5_refugees_male,5,5. BoM trained resilience programmes,male,refugees,adults,0
Baringo,February,indicator5_refugees_female,5,5. BoM trained resilience programmes,female,refugees,adults,0
Baringo,February,indicator6_male,6,6. Govt. officials trained,male,NA,adults,0
Baringo,February,indicator6_female,6,6. Govt. officials trained,female,NA,adults,0
Baringo,February,indicator7_host_community_boys,7,7. Children life skills mentorship,male,host_community,children,0
Baringo,February,indicator7_host_community_girls,7,7. Children life skills mentorship,female,host_community,children,0
Baringo,February,indicator7_idps_boys,7,7. Children life skills mentorship,male,idps,children,0
Baringo,February,indicator7_idps_girls,7,7. Children life skills mentorship,female,idps,children,0
Baringo,February,indicator7_refugees_boys,7,7. Children life skills mentorship,male,refugees,children,0
Baringo,February,indicator7_refugees_girls,7,7. Children life skills mentorship,female,refugees,children,0
Baringo,February,indicator7_cwd_boys,7,7. Children life skills mentorship,male,cwd,children,0
Baringo,February,indicator7_cwd_girls,7,7. Children life skills mentorship,female,cwd,children,0
Baringo,February,indicator1_all_total_children,1,1. OOSC accessing formal education,total,all,children,0
Baringo,February,indicator1_all_boys,1,1. OOSC accessing formal education,male,all,children,0
Baringo,February,indicator1_all_girls,1,1. OOSC accessing formal education,female,all,children,0
Baringo,February,indicator1_host_community_total_children,1,1. OOSC accessing formal education,total,host_community,children,0
Baringo,February,indicator1_idps_total_children,1,1. OOSC accessing formal education,total,idps,children,0
Baringo,February,indicator1_refugees_total_children,1,1. OOSC accessing formal education,total,refugees,children,0
Baringo,February,indicator1_cwd_total_children,1,1. OOSC accessing formal education,total,cwd,children,0
Baringo,February,indicator2_all_total_children,2,2. Children benefiting from child-friendly environment,total,all,children,0
Baringo,February,indicator2_all_boys,2,2. Children benefiting from child-friendly environment,male,all,children,0
Baringo,February,indicator2_all_girls,2,2. Children benefiting from child-friendly environment,female,all,children,0
Baringo,February,indicator2_host_community_total_children,2,2. Children benefiting from child-friendly environment,total,host_community,children,0
Baringo,February,indicator2_idps_total_children,2,2. Children benefiting from child-friendly environment,total,idps,children,0
Baringo,February,indicator2_refugees_total_children,2,2. Children benefiting from child-friendly environment,total,refugees,children,0
Baringo,February,indicator2_cwd_total_children,2,2. Children benefiting from child-friendly environment,total,cwd,children,0
Baringo,February,indicator3_all_total_children,3,3. Children who receive assistance to continue learning,total,all,children,0
Baringo,February,indicator3_all_boys,3,3. Children who receive assistance to continue learning,male,all,children,0
Baringo,February,indicator3_all_girls,3,3. Children who receive assistance to continue learning,female,all,children,0
Baringo,February,indicator3_host_community_total_children,3,3. Children who receive assistance to continue learning,total,host_community,children,0
Baringo,February,indicator3_idps_total_children,3,3. Children who receive assistance to continue learning,total,idps,children,0
Baringo,February,indicator3_refugees_total_children,3,3. Children who receive assistance to continue learning,total,refugees,children,0
Baringo,February,indicator3_cwd_total_children,3,3. Children who receive assistance to continue learning,total,cwd,children,0
Baringo,February,indicator4_all_total_adults,4,4. Teachers trained resilience programmes,total,all,adults,0
Baringo,February,indicator4_all_male,4,4. Teachers trained resilience programmes,male,all,adults,0
Baringo,February,indicator4_all_female,4,4. Teachers trained resilience programmes,female,all,adults,0
Baringo,February,indicator4_host_community_total_adults,4,4. Teachers trained resilience programmes,total,host_community,adults,0
Baringo,February,indicator4_idps_total_adults,4,4. Teachers trained resilience programmes,total,idps,adults,0
Baringo,February,indicator4_refugees_total_adults,4,4. Teachers trained resilience programmes,total,refugees,adults,0
Baringo,February,indicator5_all_total_adults,5,5. BoM trained resilience programmes,total,all,adults,0
Baringo,February,indicator5_all_male,5,5. BoM trained resilience programmes,male,all,adults,0
Baringo,February,indicator5_all_female,5,5. BoM trained resilience programmes,female,all,adults,0
Baringo,February,indicator5_host_community_total_adults,5,5. BoM trained resilience programmes,total,host_community,adults,0
Baringo,February,indicator5_idps_total_adults,5,5. BoM trained resilience programmes,total,idps,adults,0
Baringo,February,indicator5_refugees_total_adults,5,5. BoM trained resilience programmes,total,refugees,adults,0
Baringo,February,indicator6_all_total_adults,6,6. Govt. officials trained,total,all,adults,0
Baringo,February,indicator7_all_total_children,7,7. Children life skills mentorship,total,all,children,0
Baringo,February,indicator7_all_boys,7,7. Children life skills mentorship,male,all,children,0
Baringo,February,indicator7_all_girls,7,7. Children life skills mentorship,female,all,children,0
Baringo,February,indicator7_host_community_total_children,7,7. Children life skills mentorship,total,host_community,children,0
Baringo,February,indicator7_idps_total_children,7,7. Children life skills mentorship,total,idps,children,0
Baringo,February,indicator7_refugees_total_children,7,7. Children life skills mentorship,total,refugees,children,0
Baringo,February,indicator7_cwd_total_children,7,7. Children life skills mentorship,total,cwd,children,0
Baringo,March,indicator1_host_community_boys,1,1. OOSC accessing formal education,male,host_community,children,136
Baringo,March,indicator1_host_community_girls,1,1. OOSC accessing formal education,female,host_community,children,181
Baringo,March,indicator1_idps_boys,1,1. OOSC accessing formal education,male,idps,children,0
Baringo,March,indicator1_idps_girls,1,1. OOSC accessing formal education,female,idps,children,0
Baringo,March,indicator1_refugees_boys,1,1. OOSC accessing formal education,male,refugees,children,0
Baringo,March,indicator1_refugees_girls,1,1. OOSC accessing formal education,female,refugees,children,0
Baringo,March,indicator1_cwd_boys,1,1. OOSC accessing formal education,male,cwd,children,0
Baringo,March,indicator1_cwd_girls,1,1. OOSC accessing formal education,female,cwd,children,0
Baringo,March,indicator2_host_community_boys,2,2. Children benefiting from child-friendly environment,male,host_community,children,0
Baringo,March,indicator2_host_community_girls,2,2. Children benefiting from child-friendly environment,female,host_community,children,0
Baringo,March,indicator2_idps_boys,2,2. Children benefiting from child-friendly environment,male,idps,children,0
Baringo,March,indicator2_idps_girls,2,2. Children benefiting from child-friendly environment,female,idps,children,0
Baringo,March,indicator2_refugees_boys,2,2. Children benefiting from child-friendly environment,male,refugees,children,0
Baringo,March,indicator2_refugees_girls,2,2. Children benefiting from child-friendly environment,female,refugees,children,0
Baringo,March,indicator2_cwd_boys,2,2. Children benefiting from child-friendly environment,male,cwd,children,0
Baringo,March,indicator2_cwd_girls,2,2. Children benefiting from child-friendly environment,female,cwd,children,0
Baringo,March,indicator2_new_latrines,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,March,indicator2_rehabiltated_latrines,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,March,indicator2_new_classrooms,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,March,indicator2_rehabilitated_classrooms,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,March,indicator3_host_community_boys,3,3. Children who receive assistance to continue learning,male,host_community,children,0
Baringo,March,indicator3_host_community_girls,3,3. Children who receive assistance to continue learning,female,host_community,children,0
Baringo,March,indicator3_idps_boys,3,3. Children who receive assistance to continue learning,male,idps,children,0
Baringo,March,indicator3_idps_girls,3,3. Children who receive assistance to continue learning,female,idps,children,0
Baringo,March,indicator3_refugees_boys,3,3. Children who receive assistance to continue learning,male,refugees,children,0
Baringo,March,indicator3_refugees_girls,3,3. Children who receive assistance to continue learning,female,refugees,children,0
Baringo,March,indicator3_cwd_boys,3,3. Children who receive assistance to continue learning,male,cwd,children,0
Baringo,March,indicator3_cwd_girls,3,3. Children who receive assistance to continue learning,female,cwd,children,0
Baringo,March,indicator4_host_community_male,4,4. Teachers trained resilience programmes,male,host_community,adults,11
Baringo,March,indicator4_host_community_female,4,4. Teachers trained resilience programmes,female,host_community,adults,9
Baringo,March,indicator4_idps_male,4,4. Teachers trained resilience programmes,male,idps,adults,0
Baringo,March,indicator4_idps_female,4,4. Teachers trained resilience programmes,female,idps,adults,0
Baringo,March,indicator4_refugees_male,4,4. Teachers trained resilience programmes,male,refugees,adults,0
Baringo,March,indicator4_refugees_female,4,4. Teachers trained resilience programmes,female,refugees,adults,0
Baringo,March,indicator5_host_community_male,5,5. BoM trained resilience programmes,male,host_community,adults,714
Baringo,March,indicator5_host_community_female,5,5. BoM trained resilience programmes,female,host_community,adults,665
Baringo,March,indicator5_idps_male,5,5. BoM trained resilience programmes,male,idps,adults,0
Baringo,March,indicator5_idps_female,5,5. BoM trained resilience programmes,female,idps,adults,0
Baringo,March,indicator5_refugees_male,5,5. BoM trained resilience programmes,male,refugees,adults,0
Baringo,March,indicator5_refugees_female,5,5. BoM trained resilience programmes,female,refugees,adults,0
Baringo,March,indicator6_male,6,6. Govt. officials trained,male,NA,adults,0
Baringo,March,indicator6_female,6,6. Govt. officials trained,female,NA,adults,0
Baringo,March,indicator7_host_community_boys,7,7. Children life skills mentorship,male,host_community,children,0
Baringo,March,indicator7_host_community_girls,7,7. Children life skills mentorship,female,host_community,children,0
Baringo,March,indicator7_idps_boys,7,7. Children life skills mentorship,male,idps,children,0
Baringo,March,indicator7_idps_girls,7,7. Children life skills mentorship,female,idps,children,0
Baringo,March,indicator7_refugees_boys,7,7. Children life skills mentorship,male,refugees,children,0
Baringo,March,indicator7_refugees_girls,7,7. Children life skills mentorship,female,refugees,children,0
Baringo,March,indicator7_cwd_boys,7,7. Children life skills mentorship,male,cwd,children,0
Baringo,March,indicator7_cwd_girls,7,7. Children life skills mentorship,female,cwd,children,0
Baringo,March,indicator1_all_total_children,1,1. OOSC accessing formal education,total,all,children,317
Baringo,March,indicator1_all_boys,1,1. OOSC accessing formal education,male,all,children,136
Baringo,March,indicator1_all_girls,1,1. OOSC accessing formal education,female,all,children,181
Baringo,March,indicator1_host_community_total_children,1,1. OOSC accessing formal education,total,host_community,children,317
Baringo,March,indicator1_idps_total_children,1,1. OOSC accessing formal education,total,idps,children,0
Baringo,March,indicator1_refugees_total_children,1,1. OOSC accessing formal education,total,refugees,children,0
Baringo,March,indicator1_cwd_total_children,1,1. OOSC accessing formal education,total,cwd,children,0
Baringo,March,indicator2_all_total_children,2,2. Children benefiting from child-friendly environment,total,all,children,0
Baringo,March,indicator2_all_boys,2,2. Children benefiting from child-friendly environment,male,all,children,0
Baringo,March,indicator2_all_girls,2,2. Children benefiting from child-friendly environment,female,all,children,0
Baringo,March,indicator2_host_community_total_children,2,2. Children benefiting from child-friendly environment,total,host_community,children,0
Baringo,March,indicator2_idps_total_children,2,2. Children benefiting from child-friendly environment,total,idps,children,0
Baringo,March,indicator2_refugees_total_children,2,2. Children benefiting from child-friendly environment,total,refugees,children,0
Baringo,March,indicator2_cwd_total_children,2,2. Children benefiting from child-friendly environment,total,cwd,children,0
Baringo,March,indicator3_all_total_children,3,3. Children who receive assistance to continue learning,total,all,children,0
Baringo,March,indicator3_all_boys,3,3. Children who receive assistance to continue learning,male,all,children,0
Baringo,March,indicator3_all_girls,3,3. Children who receive assistance to continue learning,female,all,children,0
Baringo,March,indicator3_host_community_total_children,3,3. Children who receive assistance to continue learning,total,host_community,children,0
Baringo,March,indicator3_idps_total_children,3,3. Children who receive assistance to continue learning,total,idps,children,0
Baringo,March,indicator3_refugees_total_children,3,3. Children who receive assistance to continue learning,total,refugees,children,0
Baringo,March,indicator3_cwd_total_children,3,3. Children who receive assistance to continue learning,total,cwd,children,0
Baringo,March,indicator4_all_total_adults,4,4. Teachers trained resilience programmes,total,all,adults,20
Baringo,March,indicator4_all_male,4,4. Teachers trained resilience programmes,male,all,adults,11
Baringo,March,indicator4_all_female,4,4. Teachers trained resilience programmes,female,all,adults,9
Baringo,March,indicator4_host_community_total_adults,4,4. Teachers trained resilience programmes,total,host_community,adults,20
Baringo,March,indicator4_idps_total_adults,4,4. Teachers trained resilience programmes,total,idps,adults,0
Baringo,March,indicator4_refugees_total_adults,4,4. Teachers trained resilience programmes,total,refugees,adults,0
Baringo,March,indicator5_all_total_adults,5,5. BoM trained resilience programmes,total,all,adults,1379
Baringo,March,indicator5_all_male,5,5. BoM trained resilience programmes,male,all,adults,714
Baringo,March,indicator5_all_female,5,5. BoM trained resilience programmes,female,all,adults,665
Baringo,March,indicator5_host_community_total_adults,5,5. BoM trained resilience programmes,total,host_community,adults,1379
Baringo,March,indicator5_idps_total_adults,5,5. BoM trained resilience programmes,total,idps,adults,0
Baringo,March,indicator5_refugees_total_adults,5,5. BoM trained resilience programmes,total,refugees,adults,0
Baringo,March,indicator6_all_total_adults,6,6. Govt. officials trained,total,all,adults,0
Baringo,March,indicator7_all_total_children,7,7. Children life skills mentorship,total,all,children,0
Baringo,March,indicator7_all_boys,7,7. Children life skills mentorship,male,all,children,0
Baringo,March,indicator7_all_girls,7,7. Children life skills mentorship,female,all,children,0
Baringo,March,indicator7_host_community_total_children,7,7. Children life skills mentorship,total,host_community,children,0
Baringo,March,indicator7_idps_total_children,7,7. Children life skills mentorship,total,idps,children,0
Baringo,March,indicator7_refugees_total_children,7,7. Children life skills mentorship,total,refugees,children,0
Baringo,March,indicator7_cwd_total_children,7,7. Children life skills mentorship,total,cwd,children,0
Baringo,April,indicator1_host_community_boys,1,1. OOSC accessing formal education,male,host_community,children,157
Baringo,April,indicator1_host_community_girls,1,1. OOSC accessing formal education,female,host_community,children,97
Baringo,April,indicator1_idps_boys,1,1. OOSC accessing formal education,male,idps,children,0
Baringo,April,indicator1_idps_girls,1,1. OOSC accessing formal education,female,idps,children,0
Baringo,April,indicator1_refugees_boys,1,1. OOSC accessing formal education,male,refugees,children,0
Baringo,April,indicator1_refugees_girls,1,1. OOSC accessing formal education,female,refugees,children,0
Baringo,April,indicator1_cwd_boys,1,1. OOSC accessing formal education,male,cwd,children,0
Baringo,April,indicator1_cwd_girls,1,1. OOSC accessing formal education,female,cwd,children,0
Baringo,April,indicator2_host_community_boys,2,2. Children benefiting from child-friendly environment,male,host_community,children,0
Baringo,April,indicator2_host_community_girls,2,2. Children benefiting from child-friendly environment,female,host_community,children,0
Baringo,April,indicator2_idps_boys,2,2. Children benefiting from child-friendly environment,male,idps,children,0
Baringo,April,indicator2_idps_girls,2,2. Children benefiting from child-friendly environment,female,idps,children,0
Baringo,April,indicator2_refugees_boys,2,2. Children benefiting from child-friendly environment,male,refugees,children,0
Baringo,April,indicator2_refugees_girls,2,2. Children benefiting from child-friendly environment,female,refugees,children,0
Baringo,April,indicator2_cwd_boys,2,2. Children benefiting from child-friendly environment,male,cwd,children,0
Baringo,April,indicator2_cwd_girls,2,2. Children benefiting from child-friendly environment,female,cwd,children,0
Baringo,April,indicator2_new_latrines,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,April,indicator2_rehabiltated_latrines,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,April,indicator2_new_classrooms,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,April,indicator2_rehabilitated_classrooms,2,2. Children benefiting from child-friendly environment,NA,NA,NA,0
Baringo,April,indicator3_host_community_boys,3,3. Children who receive assistance to continue learning,male,host_community,children,0
Baringo,April,indicator3_host_community_girls,3,3. Children who receive assistance to continue learning,female,host_community,children,0
Baringo,April,indicator3_idps_boys,3,3. Children who receive assistance to continue learning,male,idps,children,0
Baringo,April,indicator3_idps_girls,3,3. Children who receive assistance to continue learning,female,idps,children,0
Baringo,April,indicator3_refugees_boys,3,3. Children who receive assistance to continue learning,male,refugees,children,0
Baringo,April,indicator3_refugees_girls,3,3. Children who receive assistance to continue learning,female,refugees,children,0
Baringo,April,indicator3_cwd_boys,3,3. Children who receive assistance to continue learning,male,cwd,children,0
Baringo,April,indicator3_cwd_girls,3,3. Children who receive assistance to continue learning,female,cwd,children,0
Baringo,April,indicator4_host_community_male,4,4. Teachers trained resilience programmes,male,host_community,adults,161
Baringo,April,indicator4_host_community_female,4,4. Teachers trained resilience programmes,female,host_community,adults,143
Baringo,April,indicator4_idps_male,4,4. Teachers trained resilience programmes,male,idps,adults,0
Baringo,April,indicator4_idps_female,4,4. Teachers trained resilience programmes,female,idps,adults,0
Baringo,April,indicator4_refugees_male,4,4. Teachers trained resilience programmes,male,refugees,adults,0
Baringo,April,indicator4_refugees_female,4,4. Teachers trained resilience programmes,female,refugees,adults,0
Baringo,April,indicator5_host_community_male,5,5. BoM trained resilience programmes,male,host_community,adults,23
