month,county,sub_indicator,value,sex_modifier,beneficiary_group,age_modifier,unicef_indicator_number,unicef_indicator
January, Isiolo,indicator5_all_male,94,male,all,adults,5,5. BoM trained resilience programmes
January, Isiolo,indicator5_all_female,81,female,all,adults,5,5. BoM trained resilience programmes
January, Isiolo,indicator5_host_community_total,175,total,host_community,NA,5,5. BoM trained resilience programmes
January, Isiolo,indicator5_host_community_male,94,male,host_community,adults,5,5. BoM trained resilience programmes
January, Isiolo,indicator5_host_community_female,81,female,host_community,adults,5,5. BoM trained resilience programmes
January, Isiolo,indicator7_beneficiary_type_total,682,total,NA,NA,7,7. Children life skills mentorship
January, Isiolo,indicator7_all_boys,313,male,all,children,7,7. Children life skills mentorship
January, Isiolo,indicator7_all_girls,369,female,all,children,7,7. Children life skills mentorship
January, Isiolo,indicator7_host_community_total,682,total,host_community,NA,7,7. Children life skills mentorship
January, Isiolo,indicator7_host_community_boys,313,male,host_community,children,7,7. Children life skills mentorship
January, Isiolo,indicator7_host_community_girls,369,female,host_community,children,7,7. Children life skills mentorship
February, Isiolo,indicator1_all_total,158,total,all,total,1,1. OOSC accessing formal education
February, Isiolo,indicator1_all_boys,101,male,all,children,1,1. OOSC accessing formal education
February, Isiolo,indicator1_all_girls,57,female,all,children,1,1. OOSC accessing formal education
February, Isiolo,indicator1_host_community_total,158,total,host_community,NA,1,1. OOSC accessing formal education
February, Isiolo,indicator1_host_community_boys,101,male,host_community,children,1,1. OOSC accessing formal education
February, Isiolo,indicator1_host_community_girls,57,female,host_community,children,1,1. OOSC accessing formal education
May, Isiolo,indicator1_all_total,833,total,all,total,1,1. OOSC accessing formal education
May, Isiolo,indicator1_all_boys,414,male,all,children,1,1. OOSC accessing formal education
May, Isiolo,indicator1_all_girls,419,female,all,children,1,1. OOSC accessing formal education
May, Isiolo,indicator1_host_community_boys,414,male,host_community,children,1,1. OOSC accessing formal education
May, Isiolo,indicator1_host_community_girls,419,female,host_community,children,1,1. OOSC accessing formal education
May, Isiolo,indicator4_all_total,71,total,all,total,4,4. Teachers trained resilience programmes
May, Isiolo,indicator4_all_male,28,male,all,adults,4,4. Teachers trained resilience programmes
May, Isiolo,indicator4_all_female,43,female,all,adults,4,4. Teachers trained resilience programmes
May, Isiolo,indicator4_host_community_total,71,total,host_community,NA,4,4. Teachers trained resilience programmes
May, Isiolo,indicator4_host_community_male,28,male,host_community,adults,4,4. Teachers trained resilience programmes
May, Isiolo,indicator4_host_community_female,43,female,host_community,adults,4,4. Teachers trained resilience programmes
March, Kajiado,indicator1_all_total,1094,total,all,total,1,1. OOSC accessing formal education
March, Kajiado,indicator1_all_boys,560,male,all,children,1,1. OOSC accessing formal education
March, Kajiado,indicator1_all_girls,534,female,all,children,1,1. OOSC accessing formal education
March, Kajiado,indicator1_host_community_total,1094,total,host_community,NA,1,1. OOSC accessing formal education
March, Kajiado,indicator1_host_community_boys,560,male,host_community,children,1,1. OOSC accessing formal education
March, Kajiado,indicator1_host_community_girls,534,female,host_community,children,1,1. OOSC accessing formal education
March, Kajiado,indicator5_all_total,83,total,all,total,5,5. BoM trained resilience programmes
March, Kajiado,indicator5_all_male,27,male,all,adults,5,5. BoM trained resilience programmes
March, Kajiado,indicator5_all_female,56,female,all,adults,5,5. BoM trained resilience programmes
March, Kajiado,indicator5_host_community_total,83,total,host_community,NA,5,5. BoM trained resilience programmes
March, Kajiado,indicator5_host_community_male,27,male,host_community,adults,5,5. BoM trained resilience programmes
March, Kajiado,indicator5_host_community_female,56,female,host_community,adults,5,5. BoM trained resilience programmes
March, Kajiado,indicator7_beneficiary_type_total,2097,total,NA,NA,7,7. Children life skills mentorship
March, Kajiado,indicator7_all_boys,1112,male,all,children,7,7. Children life skills mentorship
March, Kajiado,indicator7_all_girls,985,female,all,children,7,7. Children life skills mentorship
March, Kajiado,indicator7_host_community_total,2097,total,host_community,NA,7,7. Children life skills mentorship
March, Kajiado,indicator7_host_community_boys,1112,male,host_community,children,7,7. Children life skills mentorship
March, Kajiado,indicator7_host_community_girls,985,female,host_community,children,7,7. Children life skills mentorship
May, Kajiado,indicator1_all_total,1926,total,all,total,1,1. OOSC accessing formal education
May, Kajiado,indicator1_all_boys,987,male,all,children,1,1. OOSC accessing formal education
May, Kajiado,indicator1_all_girls,939,female,all,children,1,1. OOSC accessing formal education
May, Kajiado,indicator1_host_community_total,1926,total,host_community,NA,1,1. OOSC accessing formal education
May, Kajiado,indicator1_host_community_boys,987,male,host_community,children,1,1. OOSC accessing formal education
May, Kajiado,indicator1_host_community_girls,939,female,host_community,children,1,1. OOSC accessing formal education
May, Kajiado,indicator7_beneficiary_type_total,3288,total,NA,NA,7,7. Children life skills mentorship
May, Kajiado,indicator7_all_boys,910,male,all,children,7,7. Children life skills mentorship
May, Kajiado,indicator7_all_girls,2378,female,all,children,7,7. Children life skills mentorship
May, Kajiado,indicator7_host_community_total,3288,total,host_community,NA,7,7. Children life skills mentorship
May, Kajiado,indicator7_host_community_boys,910,male,host_community,children,7,7. Children life skills mentorship
May, Kajiado,indicator7_host_community_girls,2378,female,host_community,children,7,7. Children life skills mentorship
March, Kilifi,indicator1_all_total,757,total,all,total,1,1. OOSC accessing formal education
March, Kilifi,indicator1_all_boys,400,male,all,children,1,1. OOSC accessing formal education
March, Kilifi,indicator1_all_girls,357,female,all,children,1,1. OOSC accessing formal education
March, Kilifi,indicator1_host_community_total,757,total,host_community,NA,1,1. OOSC accessing formal education
March, Kilifi,indicator1_host_community_boys,400,male,host_community,children,1,1. OOSC accessing formal education
March, Kilifi,indicator1_host_community_girls,357,female,host_community,children,1,1. OOSC accessing formal education
March, Kilifi,indicator5_all_total,64,total,all,total,5,5. BoM trained resilience programmes
March, Kilifi,indicator5_all_male,32,male,all,adults,5,5. BoM trained resilience programmes
March, Kilifi,indicator5_all_female,32,female,all,adults,5,5. BoM trained resilience programmes
March, Kilifi,indicator5_host_community_total,64,total,host_community,NA,5,5. BoM trained resilience programmes
March, Kilifi,indicator5_host_community_male,32,male,host_community,adults,5,5. BoM trained resilience programmes
March, Kilifi,indicator5_host_community_female,32,female,host_community,adults,5,5. BoM trained resilience programmes
March, Kilifi,indicator7_beneficiary_type_total,788,total,NA,NA,7,7. Children life skills mentorship
March, Kilifi,indicator7_all_boys,160,male,all,children,7,7. Children life skills mentorship
March, Kilifi,indicator7_all_girls,628,female,all,children,7,7. Children life skills mentorship
March, Kilifi,indicator7_host_community_total,788,total,host_community,NA,7,7. Children life skills mentorship
March, Kilifi,indicator7_host_community_boys,160,male,host_community,children,7,7. Children life skills mentorship
March, Kilifi,indicator7_host_community_girls,628,female,host_community,children,7,7. Children life skills mentorship
May, Kilifi,indicator1_all_total,89,total,all,total,1,1. OOSC accessing formal education
May, Kilifi,indicator1_all_boys,52,male,all,children,1,1. OOSC accessing formal education
May, Kilifi,indicator1_all_girls,37,female,all,children,1,1. OOSC accessing formal education
May, Kilifi,indicator1_host_community_total,89,total,host_community,NA,1,1. OOSC accessing formal education
May, Kilifi,indicator1_host_community_boys,52,male,host_community,children,1,1. OOSC accessing formal education
May, Kilifi,indicator1_host_community_girls,37,female,host_community,children,1,1. OOSC accessing formal education
May, Kilifi,indicator7_beneficiary_type_total,89,total,NA,NA,7,7. Children life skills mentorship
May, Kilifi,indicator7_all_boys,52,male,all,children,7,7. Children life skills mentorship
May, Kilifi,indicator7_all_girls,37,female,all,children,7,7. Children life skills mentorship
May, Kilifi,indicator7_host_community_total,89,total,host_community,NA,7,7. Children life skills mentorship
May, Kilifi,indicator7_host_community_boys,52,male,host_community,children,7,7. Children life skills mentorship
May, Kilifi,indicator7_host_community_girls,37,female,host_community,children,7,7. Children life skills mentorship
March, Kwale,indicator1_all_total,442,total,all,total,1,1. OOSC accessing formal education
March, Kwale,indicator1_all_boys,200,male,all,children,1,1. OOSC accessing formal education
March, Kwale,indicator1_all_girls,242,female,all,children,1,1. OOSC accessing formal education
March, Kwale,indicator1_host_community_total,442,total,host_community,NA,1,1. OOSC accessing formal education
March, Kwale,indicator1_host_community_boys,200,male,host_community,children,1,1. OOSC accessing formal education
March, Kwale,indicator1_host_community_girls,242,female,host_community,children,1,1. OOSC accessing formal education
March, Kwale,indicator7_beneficiary_type_total,2000,total,NA,NA,7,7. Children life skills mentorship
March, Kwale,indicator7_all_boys,1200,male,all,children,7,7. Children life skills mentorship
March, Kwale,indicator7_all_girls,800,female,all,children,7,7. Children life skills mentorship
March, Kwale,indicator7_host_community_total,2000,total,host_community,NA,7,7. Children life skills mentorship
March, Kwale,indicator7_host_community_boys,1200,male,host_community,children,7,7. Children life skills mentorship
March, Kwale,indicator7_host_community_girls,800,female,host_community,children,7,7. Children life skills mentorship
May, Kwale,indicator1_all_total,359,total,all,total,1,1. OOSC accessing formal education
May, Kwale,indicator1_all_boys,200,male,all,children,1,1. OOSC accessing formal education
May, Kwale,indicator1_all_girls,159,female,all,children,1,1. OOSC accessing formal education
May, Kwale,indicator1_host_community_total,359,total,host_community,NA,1,1. OOSC accessing formal education
May, Kwale,indicator1_host_community_boys,200,male,host_community,children,1,1. OOSC accessing formal education
May, Kwale,indicator1_host_community_girls,159,female,host_community,children,1,1. OOSC accessing formal education
March, Mandera,indicator3_all_total,600,total,all,total,3,3. Children who receive assistance to continue learning
March, Mandera,indicator3_all_boys,360,male,all,children,3,3. Children who receive assistance to continue learning
March, Mandera,indicator3_all_girls,240,female,all,children,3,3. Children who receive assistance to continue learning
March, Mandera,indicator3_host_community_total,600,total,host_community,NA,3,3. Children who receive assistance to continue learning
March, Mandera,indicator3_host_community_boys,360,male,host_community,children,3,3. Children who receive assistance to continue learning
March, Mandera,indicator3_host_community_girls,240,female,host_community,children,3,3. Children who receive assistance to continue learning
March, Mandera,indicator4_all_total,150,total,all,total,4,4. Teachers trained resilience programmes
March, Mandera,indicator4_all_male,139,male,all,adults,4,4. Teachers trained resilience programmes
March, Mandera,indicator4_all_female,11,female,all,adults,4,4. Teachers trained resilience programmes
March, Mandera,indicator4_host_community_total,150,total,host_community,NA,4,4. Teachers trained resilience programmes
March, Mandera,indicator4_host_community_male,139,male,host_community,adults,4,4. Teachers trained resilience programmes
March, Mandera,indicator4_host_community_female,11,female,host_community,adults,4,4. Teachers trained resilience programmes
January, Marsabit,indicator1_all_total,500,total,all,total,1,1. OOSC accessing formal education
January, Marsabit,indicator1_all_boys,271,male,all,children,1,1. OOSC accessing formal education
January, Marsabit,indicator1_all_girls,229,female,all,children,1,1. OOSC accessing formal education
January, Marsabit,indicator1_host_community_total,500,total,host_community,NA,1,1. OOSC accessing formal education
January, Marsabit,indicator1_host_community_boys,271,male,host_community,children,1,1. OOSC accessing formal education
January, Marsabit,indicator1_host_community_girls,229,female,host_community,children,1,1. OOSC accessing formal education
January, Marsabit,indicator2_all_total,2548,total,all,total,2,2. Children benefiting from child-friendly environment
January, Marsabit,indicator2_all_boys,1303,male,all,children,2,2. Children benefiting from child-friendly environment
January, Marsabit,indicator2_all_girls,1245,female,all,children,2,2. Children benefiting from child-friendly environment
January, Marsabit,indicator2_host_community_total,2548,total,host_community,NA,2,2. Children benefiting from child-friendly environment
January, Marsabit,indicator2_host_community_boys,1303,male,host_community,children,2,2. Children benefiting from child-friendly environment
January, Marsabit,indicator2_host_community_girls,1245,female,host_community,children,2,2. Children benefiting from child-friendly environment
January, Marsabit,indicator2_rehabiltated_latrines,10,NA,NA,NA,2,2. Children benefiting from child-friendly environment
February, Marsabit,indicator1_all_total,1000,total,all,total,1,1. OOSC accessing formal education
February, Marsabit,indicator1_all_boys,646,male,all,children,1,1. OOSC accessing formal education
February, Marsabit,indicator1_all_girls,354,female,all,children,1,1. OOSC accessing formal education
February, Marsabit,indicator1_host_community_total,1000,total,host_community,NA,1,1. OOSC accessing formal education
February, Marsabit,indicator1_host_community_boys,646,male,host_community,children,1,1. OOSC accessing formal education
February, Marsabit,indicator1_host_community_girls,354,female,host_community,children,1,1. OOSC accessing formal education
February, Marsabit,indicator5_all_total,93,total,all,total,5,5. BoM trained resilience programmes
February, Marsabit,indicator5_all_male,83,male,all,adults,5,5. BoM trained resilience programmes
February, Marsabit,indicator5_all_female,10,female,all,adults,5,5. BoM trained resilience programmes
February, Marsabit,indicator5_host_community_male,83,male,host_community,adults,5,5. BoM trained resilience programmes
February, Marsabit,indicator5_host_community_female,10,female,host_community,adults,5,5. BoM trained resilience programmes
March, Marsabit,indicator1_all_total,1600,total,all,total,1,1. OOSC accessing formal education
March, Marsabit,indicator1_all_boys,1003,male,all,children,1,1. OOSC accessing formal education
March, Marsabit,indicator1_all_girls,597,female,all,children,1,1. OOSC accessing formal education
March, Marsabit,indicator1_host_community_total,1600,total,host_community,NA,1,1. OOSC accessing formal education
March, Marsabit,indicator1_host_community_boys,1003,male,host_community,children,1,1. OOSC accessing formal education
March, Marsabit,indicator1_host_community_girls,597,female,host_community,children,1,1. OOSC accessing formal education
March, Marsabit,indicator5_all_total,55,total,all,total,5,5. BoM trained resilience programmes
March, Marsabit,indicator5_all_male,40,male,all,adults,5,5. BoM trained resilience programmes
March, Marsabit,indicator5_all_female,15,female,all,adults,5,5. BoM trained resilience programmes
March, Marsabit,indicator5_host_community_total,55,total,host_community,NA,5,5. BoM trained resilience programmes
March, Marsabit,indicator5_host_community_male,40,male,host_community,adults,5,5. BoM trained resilience programmes
March, Marsabit,indicator5_host_community_female,15,female,host_community,adults,5,5. BoM trained resilience programmes
May, Marsabit,indicator2_all_total,14290,total,all,total,2,2. Children benefiting from child-friendly environment
May, Marsabit,indicator2_all_boys,7311,male,all,children,2,2. Children benefiting from child-friendly environment
May, Marsabit,indicator2_all_girls,6979,female,all,children,2,2. Children benefiting from child-friendly environment
May, Marsabit,indicator2_host_community_total,14290,total,host_community,NA,2,2. Children benefiting from child-friendly environment
May, Marsabit,indicator2_host_community_boys,7311,male,host_community,children,2,2. Children benefiting from child-friendly environment
May, Marsabit,indicator2_host_community_girls,6979,female,host_community,children,2,2. Children benefiting from child-friendly environment
May, Marsabit,indicator3_all_total,19720,total,all,total,3,3. Children who receive assistance to continue learning
May, Marsabit,indicator3_all_boys,9431,male,all,children,3,3. Children who receive assistance to continue learning
May, Marsabit,indicator3_all_girls,10289,female,all,children,3,3. Children who receive assistance to continue learning
May, Marsabit,indicator3_host_community_total,19720,total,host_community,NA,3,3. Children who receive assistance to continue learning
May, Marsabit,indicator3_host_community_boys,9431,male,host_community,children,3,3. Children who receive assistance to continue learning
May, Marsabit,indicator3_host_community_girls,10289,female,host_community,children,3,3. Children who receive assistance to continue learning
March, Narok,indicator1_all_total,813,total,all,total,1,1. OOSC accessing formal education
March, Narok,indicator1_all_boys,487,male,all,children,1,1. OOSC accessing formal education
March, Narok,indicator1_all_girls,326,female,all,children,1,1. OOSC accessing formal education
March, Narok,indicator1_host_community_total,813,total,host_community,NA,1,1. OOSC accessing formal education
March, Narok,indicator1_host_community_boys,487,male,host_community,children,1,1. OOSC accessing formal education
March, Narok,indicator1_host_community_girls,326,female,host_community,children,1,1. OOSC accessing formal education
March, Narok,indicator5_all_total,115,total,all,total,5,5. BoM trained resilience programmes
March, Narok,indicator5_all_male,83,male,all,adults,5,5. BoM trained resilience programmes
March, Narok,indicator5_all_female,32,female,all,adults,5,5. BoM trained resilience programmes
March, Narok,indicator5_host_community_total,115,total,host_community,NA,5,5. BoM trained resilience programmes
March, Narok,indicator5_host_community_male,83,male,host_community,adults,5,5. BoM trained resilience programmes
March, Narok,indicator5_host_community_female,32,female,host_community,adults,5,5. BoM trained resilience programmes
March, Narok,indicator7_beneficiary_type_total,378,total,NA,NA,7,7. Children life skills mentorship
March, Narok,indicator7_all_boys,100,male,all,children,7,7. Children life skills mentorship
March, Narok,indicator7_all_girls,278,female,all,children,7,7. Children life skills mentorship
March, Narok,indicator7_host_community_total,378,total,host_community,NA,7,7. Children life skills mentorship
March, Narok,indicator7_host_community_boys,100,male,host_community,children,7,7. Children life skills mentorship
March, Narok,indicator7_host_community_girls,278,female,host_community,children,7,7. Children life skills mentorship
May, Narok,indicator1_all_total,200,total,all,total,1,1. OOSC accessing formal education
May, Narok,indicator1_all_boys,102,male,all,children,1,1. OOSC accessing formal education
May, Narok,indicator1_all_girls,98,female,all,children,1,1. OOSC accessing formal education
May, Narok,indicator1_host_community_total,200,total,host_community,NA,1,1. OOSC accessing formal education
May, Narok,indicator1_host_community_boys,102,male,host_community,children,1,1. OOSC accessing formal education
May, Narok,indicator1_host_community_girls,98,female,host_community,children,1,1. OOSC accessing formal education
January, Samburu,indicator1_all_total,87,total,all,total,1,1. OOSC accessing formal education
January, Samburu,indicator1_all_boys,51,male,all,children,1,1. OOSC accessing formal education
January, Samburu,indicator1_all_girls,36,female,all,children,1,1. OOSC accessing formal education
January, Samburu,indicator1_host_community_total,87,total,host_community,NA,1,1. OOSC accessing formal education
January, Samburu,indicator1_host_community_boys,51,male,host_community,children,1,1. OOSC accessing formal education
January, Samburu,indicator1_host_community_girls,36,female,host_community,children,1,1. OOSC accessing formal education
March, Samburu,indicator1_all_total,1059,total,all,total,1,1. OOSC accessing formal education
March, Samburu,indicator1_all_boys,582,male,all,children,1,1. OOSC accessing formal education
March, Samburu,indicator1_all_girls,477,female,all,children,1,1. OOSC accessing formal education
March, Samburu,indicator1_host_community_total,1059,total,host_community,NA,1,1. OOSC accessing formal education
March, Samburu,indicator1_host_community_boys,582,male,host_community,children,1,1. OOSC accessing formal education
March, Samburu,indicator1_host_community_girls,477,female,host_community,children,1,1. OOSC accessing formal education
March, Samburu,indicator1_cwd_total,24,total,NA,NA,1,1. OOSC accessing formal education
March, Samburu,indicator1_cwd_boys,14,male,NA,children,1,1. OOSC accessing formal education
March, Samburu,indicator1_cwd_girls,10,female,NA,children,1,1. OOSC accessing formal education
March, Samburu,indicator7_beneficiary_type_total,229,total,NA,NA,7,7. Children life skills mentorship
March, Samburu,indicator7_all_girls,229,female,all,children,7,7. Children life skills mentorship
March, Samburu,indicator7_host_community_total,229,total,host_community,NA,7,7. Children life skills mentorship
March, Samburu,indicator7_host_community_girls,229,female,host_community,children,7,7. Children life skills mentorship
April, Samburu,indicator1_all_total,921,total,all,total,1,1. OOSC accessing formal education
April, Samburu,indicator1_all_boys,520,male,all,children,1,1. OOSC accessing formal education
April, Samburu,indicator1_all_girls,401,female,all,children,1,1. OOSC accessing formal education
April, Samburu,indicator1_host_community_total,921,total,host_community,NA,1,1. OOSC accessing formal education
April, Samburu,indicator1_host_community_boys,520,male,host_community,children,1,1. OOSC accessing formal education
April, Samburu,indicator1_host_community_girls,401,female,host_community,children,1,1. OOSC accessing formal education
April, Samburu,indicator1_cwd_total,251,total,NA,NA,1,1. OOSC accessing formal education
April, Samburu,indicator1_cwd_boys,141,male,NA,children,1,1. OOSC accessing formal education
April, Samburu,indicator1_cwd_girls,110,female,NA,children,1,1. OOSC accessing formal education
April, Samburu,indicator5_all_total,19,total,all,total,5,5. BoM trained resilience programmes
April, Samburu,indicator5_all_male,12,male,all,adults,5,5. BoM trained resilience programmes
April, Samburu,indicator5_all_female,7,female,all,adults,5,5. BoM trained resilience programmes
April, Samburu,indicator5_host_community_total,19,total,host_community,NA,5,5. BoM trained resilience programmes
April, Samburu,indicator5_host_community_male,12,male,host_community,adults,5,5. BoM trained resilience programmes
April, Samburu,indicator5_host_community_female,7,female,host_community,adults,5,5. BoM trained resilience programmes
April, Samburu,indicator6_all_total,84,total,all,total,6,6. Govt. officials trained
April, Samburu,indicator6_all_male,60,male,all,adults,6,6. Govt. officials trained
April, Samburu,indicator6_all_female,24,female,all,adults,6,6. Govt. officials trained
April, Samburu,indicator7_beneficiary_type_total,753,total,NA,NA,7,7. Children life skills mentorship
April, Samburu,indicator7_all_boys,351,male,all,children,7,7. Children life skills mentorship
April, Samburu,indicator7_all_girls,402,female,all,children,7,7. Children life skills mentorship
April, Samburu,indicator7_host_community_total,753,total,host_community,NA,7,7. Children life skills mentorship
April, Samburu,indicator7_host_community_boys,351,male,host_community,children,7,7. Children life skills mentorship
April, Samburu,indicator7_host_community_girls,402,female,host_community,children,7,7. Children life skills mentorship
May, Samburu,indicator1_all_total,294,total,all,total,1,1. OOSC accessing formal education
May, Samburu,indicator1_all_boys,167,male,all,children,1,1. OOSC accessing formal education
May, Samburu,indicator1_all_girls,127,female,all,children,1,1. OOSC accessing formal education
May, Samburu,indicator1_host_community_boys,167,male,host_community,children,1,1. OOSC accessing formal education
May, Samburu,indicator1_host_community_girls,127,female,host_community,children,1,1. OOSC accessing formal education
June, Samburu,indicator1_all_total,1354,total,all,total,1,1. OOSC accessing formal education
June, Samburu,indicator1_all_boys,708,male,all,children,1,1. OOSC accessing formal education
June, Samburu,indicator1_all_girls,646,female,all,children,1,1. OOSC accessing formal education
June, Samburu,indicator1_host_community_boys,708,male,host_community,children,1,1. OOSC accessing formal education
June, Samburu,indicator1_host_community_girls,646,female,host_community,children,1,1. OOSC accessing formal education
June, Samburu,indicator6_all_total,148,total,all,total,6,6. Govt. officials trained
June, Samburu,indicator6_all_male,66,male,all,adults,6,6. Govt. officials trained
June, Samburu,indicator6_all_female,82,female,all,adults,6,6. Govt. officials trained
February, Tana River,indicator1_all_total,4175,total,all,total,1,1. OOSC accessing formal education
February, Tana River,indicator1_all_boys,1620,male,all,children,1,1. OOSC accessing formal education
February, Tana River,indicator1_all_girls,2555,female,all,children,1,1. OOSC accessing formal education
February, Tana River,indicator1_host_community_total,4175,total,host_community,NA,1,1. OOSC accessing formal education
February, Tana River,indicator1_host_community_boys,1620,male,host_community,children,1,1. OOSC accessing formal education
February, Tana River,indicator1_host_community_girls,2555,female,host_community,children,1,1. OOSC accessing formal education
