county,sub_indicator,month,sex_modifier,age_modifier,beneficiary_group,value,comments
 Baringo,indicator3_idps_boys,January,male,children,idps,0,
 Baringo,indicator3_idps_girls,January,female,children,idps,0,
 Baringo,indicator3_idps_total_children,January,total,children,idps,0,
 Baringo,indicator3_narrative,January,NA,NA,NA,0,NA
 Baringo,indicator3_refugees_boys,January,male,children,refugees,0,
 Baringo,indicator3_refugees_girls,January,female,children,refugees,0,
 Baringo,indicator3_refugees_total_children,January,total,children,refugees,0,
 Baringo,indicator4_all_female,January,female,adults,all,0,
 Baringo,indicator4_all_male,January,male,adults,all,0,
 Baringo,indicator4_all_total_adults,January,total,adults,all,0,
 Baringo,indicator4_host_community_female,January,female,adults,host_community,0,
 Baringo,indicator4_host_community_male,January,male,adults,host_community,0,
 Baringo,indicator4_host_community_total_adults,January,total,adults,host_community,0,
 Baringo,indicator4_idps_female,January,female,adults,idps,0,
 Baringo,indicator4_idps_male,January,male,adults,idps,0,
 Baringo,indicator4_idps_total_adults,January,total,adults,idps,0,
 Baringo,indicator4_narrative,January,NA,NA,NA,0,NA
 Baringo,indicator4_refugees_female,January,female,adults,refugees,0,
 Baringo,indicator4_refugees_male,January,male,adults,refugees,0,
 Baringo,indicator4_refugees_total_adults,January,total,adults,refugees,0,
 Baringo,indicator5_all_female,January,female,adults,all,28,
 Baringo,indicator5_all_male,January,male,adults,all,105,
 Baringo,indicator5_all_total_adults,January,total,adults,all,133,
 Baringo,indicator5_host_community_female,January,female,adults,host_community,28,
 Baringo,indicator5_host_community_male,January,male,adults,host_community,105,
 Baringo,indicator5_host_community_total_adults,January,total,adults,host_community,133,
 Baringo,indicator5_idps_female,January,female,adults,idps,0,
 Baringo,indicator5_idps_male,January,male,adults,idps,0,
 Baringo,indicator5_idps_total_adults,January,total,adults,idps,0,
 Baringo,indicator5_narrative,January,NA,NA,NA,0,"To support Board of Management (BoMs) in implementing school-based strategy and sustainability plan towards enrolment and retention, QASO Officers in Baringo County were supported to conduct school assessment and there after provide recommendation before rolling out training for the BOM members. BOM members were then trained especially on their roles and responsibilities, and enrollment of OOSC."
 Baringo,indicator5_refugees_female,January,female,adults,refugees,0,
 Baringo,indicator5_refugees_male,January,male,adults,refugees,0,
 Baringo,indicator5_refugees_total_adults,January,total,adults,refugees,0,
 Baringo,indicator6_all_female,January,female,adults,all,0,
 Baringo,indicator6_all_male,January,male,adults,all,0,
 Baringo,indicator6_all_total_adults,January,total,adults,all,0,
 Baringo,indicator6_narrative,January,NA,NA,NA,0,NA
 Baringo,indicator7_all_boys,January,male,children,all,0,
 Baringo,indicator7_all_girls,January,female,children,all,0,
 Baringo,indicator7_all_total_children,January,total,children,all,0,
 Baringo,indicator7_cwd_boys,January,male,children,cwd,0,
 Baringo,indicator7_cwd_girls,January,female,children,cwd,0,
 Baringo,indicator7_cwd_total_children,January,total,children,cwd,0,
 Baringo,indicator7_host_community_boys,January,male,children,host_community,0,
 Baringo,indicator7_host_community_girls,January,female,children,host_community,0,
 Baringo,indicator7_host_community_total_children,January,total,children,host_community,0,
 Baringo,indicator7_idps_boys,January,male,children,idps,0,
 Baringo,indicator7_idps_girls,January,female,children,idps,0,
 Baringo,indicator7_idps_total_children,January,total,children,idps,0,
 Baringo,indicator7_narrative,January,NA,NA,NA,0,NA
 Baringo,indicator7_refugees_boys,January,male,children,refugees,0,
 Baringo,indicator7_refugees_girls,January,female,children,refugees,0,
 Baringo,indicator7_refugees_total_children,January,total,children,refugees,0,
 Bungoma,indicator1_all_boys,January,male,children,all,0,
 Bungoma,indicator1_all_girls,January,female,children,all,0,
 Bungoma,indicator1_all_total_children,January,total,children,all,0,
 Bungoma,indicator1_cwd_boys,January,male,children,cwd,0,
 Bungoma,indicator1_cwd_girls,January,female,children,cwd,0,
 Bungoma,indicator1_cwd_total_children,January,total,children,cwd,0,
 Bungoma,indicator1_host_community_boys,January,male,children,host_community,0,
 Bungoma,indicator1_host_community_girls,January,female,children,host_community,0,
 Bungoma,indicator1_host_community_total_children,January,total,children,host_community,0,
 Bungoma,indicator1_idps_boys,January,male,children,idps,0,
 Bungoma,indicator1_idps_girls,January,female,children,idps,0,
 Bungoma,indicator1_idps_total_children,January,total,children,idps,0,
 Bungoma,indicator1_narrative,January,NA,NA,NA,0,NA
 Bungoma,indicator1_refugees_boys,January,male,children,refugees,0,
 Bungoma,indicator1_refugees_girls,January,female,children,refugees,0,
 Bungoma,indicator1_refugees_total_children,January,total,children,refugees,0,
 Bungoma,indicator2_all_boys,January,male,children,all,0,
 Bungoma,indicator2_all_girls,January,female,children,all,0,
 Bungoma,indicator2_all_total_children,January,total,children,all,0,
 Bungoma,indicator2_cwd_boys,January,male,children,cwd,0,
 Bungoma,indicator2_cwd_girls,January,female,children,cwd,0,
 Bungoma,indicator2_cwd_total_children,January,total,children,cwd,0,
 Bungoma,indicator2_host_community_boys,January,male,children,host_community,0,
 Bungoma,indicator2_host_community_girls,January,female,children,host_community,0,
 Bungoma,indicator2_host_community_total_children,January,total,children,host_community,0,
 Bungoma,indicator2_idps_boys,January,male,children,idps,0,
 Bungoma,indicator2_idps_girls,January,female,children,idps,0,
 Bungoma,indicator2_idps_total_children,January,total,children,idps,0,
 Bungoma,indicator2_narrative,January,NA,NA,NA,0,NA
 Bungoma,indicator2_new_classrooms,January,NA,NA,NA,0,
 Bungoma,indicator2_new_latrines,January,NA,NA,NA,0,
 Bungoma,indicator2_refugees_boys,January,male,children,refugees,0,
 Bungoma,indicator2_refugees_girls,January,female,children,refugees,0,
 Bungoma,indicator2_refugees_total_children,January,total,children,refugees,0,
 Bungoma,indicator2_rehabilitated_classrooms,January,NA,NA,NA,0,
 Bungoma,indicator2_rehabiltated_latrines,January,NA,NA,NA,0,
 Bungoma,indicator3_all_boys,January,male,children,all,0,
 Bungoma,indicator3_all_girls,January,female,children,all,0,
 Bungoma,indicator3_all_total_children,January,total,children,all,0,
 Bungoma,indicator3_cwd_boys,January,male,children,cwd,0,
 Bungoma,indicator3_cwd_girls,January,female,children,cwd,0,
 Bungoma,indicator3_cwd_total_children,January,total,children,cwd,0,
 Bungoma,indicator3_host_community_boys,January,male,children,host_community,0,
 Bungoma,indicator3_host_community_girls,January,female,children,host_community,0,
 Bungoma,indicator3_host_community_total_children,January,total,children,host_community,0,
 Bungoma,indicator3_idps_boys,January,male,children,idps,0,
 Bungoma,indicator3_idps_girls,January,female,children,idps,0,
 Bungoma,indicator3_idps_total_children,January,total,children,idps,0,
 Bungoma,indicator3_narrative,January,NA,NA,NA,0,NA
 Bungoma,indicator3_refugees_boys,January,male,children,refugees,0,
 Bungoma,indicator3_refugees_girls,January,female,children,refugees,0,
 Bungoma,indicator3_refugees_total_children,January,total,children,refugees,0,
 Bungoma,indicator4_all_female,January,female,adults,all,0,
 Bungoma,indicator4_all_male,January,male,adults,all,0,
 Bungoma,indicator4_all_total_adults,January,total,adults,all,0,
 Bungoma,indicator4_host_community_female,January,female,adults,host_community,0,
 Bungoma,indicator4_host_community_male,January,male,adults,host_community,0,
 Bungoma,indicator4_host_community_total_adults,January,total,adults,host_community,0,
 Bungoma,indicator4_idps_female,January,female,adults,idps,0,
 Bungoma,indicator4_idps_male,January,male,adults,idps,0,
 Bungoma,indicator4_idps_total_adults,January,total,adults,idps,0,
 Bungoma,indicator4_narrative,January,NA,NA,NA,0,NA
 Bungoma,indicator4_refugees_female,January,female,adults,refugees,0,
 Bungoma,indicator4_refugees_male,January,male,adults,refugees,0,
 Bungoma,indicator4_refugees_total_adults,January,total,adults,refugees,0,
 Bungoma,indicator5_all_female,January,female,adults,all,0,
 Bungoma,indicator5_all_male,January,male,adults,all,0,
 Bungoma,indicator5_all_total_adults,January,total,adults,all,0,
 Bungoma,indicator5_host_community_female,January,female,adults,host_community,0,
 Bungoma,indicator5_host_community_male,January,male,adults,host_community,0,
 Bungoma,indicator5_host_community_total_adults,January,total,adults,host_community,0,
 Bungoma,indicator5_idps_female,January,female,adults,idps,0,
 Bungoma,indicator5_idps_male,January,male,adults,idps,0,
 Bungoma,indicator5_idps_total_adults,January,total,adults,idps,0,
 Bungoma,indicator5_narrative,January,NA,NA,NA,0,NA
 Bungoma,indicator5_refugees_female,January,female,adults,refugees,0,
 Bungoma,indicator5_refugees_male,January,male,adults,refugees,0,
 Bungoma,indicator5_refugees_total_adults,January,total,adults,refugees,0,
 Bungoma,indicator6_all_female,January,female,adults,all,0,
 Bungoma,indicator6_all_male,January,male,adults,all,0,
 Bungoma,indicator6_all_total_adults,January,total,adults,all,0,
 Bungoma,indicator6_narrative,January,NA,NA,NA,0,NA
 Bungoma,indicator7_all_boys,January,male,children,all,0,
 Bungoma,indicator7_all_girls,January,female,children,all,0,
 Bungoma,indicator7_all_total_children,January,total,children,all,0,
 Bungoma,indicator7_cwd_boys,January,male,children,cwd,0,
 Bungoma,indicator7_cwd_girls,January,female,children,cwd,0,
 Bungoma,indicator7_cwd_total_children,January,total,children,cwd,0,
 Bungoma,indicator7_host_community_boys,January,male,children,host_community,0,
 Bungoma,indicator7_host_community_girls,January,female,children,host_community,0,
 Bungoma,indicator7_host_community_total_children,January,total,children,host_community,0,
 Bungoma,indicator7_idps_boys,January,male,children,idps,0,
 Bungoma,indicator7_idps_girls,January,female,children,idps,0,
 Bungoma,indicator7_idps_total_children,January,total,children,idps,0,
 Bungoma,indicator7_narrative,January,NA,NA,NA,0,NA
 Bungoma,indicator7_refugees_boys,January,male,children,refugees,0,
 Bungoma,indicator7_refugees_girls,January,female,children,refugees,0,
 Bungoma,indicator7_refugees_total_children,January,total,children,refugees,0,
 Embu,indicator1_all_boys,January,male,children,all,0,
 Embu,indicator1_all_girls,January,female,children,all,0,
 Embu,indicator1_all_total_children,January,total,children,all,0,
 Embu,indicator1_cwd_boys,January,male,children,cwd,0,
 Embu,indicator1_cwd_girls,January,female,children,cwd,0,
 Embu,indicator1_cwd_total_children,January,total,children,cwd,0,
 Embu,indicator1_host_community_boys,January,male,children,host_community,0,
 Embu,indicator1_host_community_girls,January,female,children,host_community,0,
 Embu,indicator1_host_community_total_children,January,total,children,host_community,0,
 Embu,indicator1_idps_boys,January,male,children,idps,0,
 Embu,indicator1_idps_girls,January,female,children,idps,0,
 Embu,indicator1_idps_total_children,January,total,children,idps,0,
 Embu,indicator1_narrative,January,NA,NA,NA,0,NA
 Embu,indicator1_refugees_boys,January,male,children,refugees,0,
 Embu,indicator1_refugees_girls,January,female,children,refugees,0,
 Embu,indicator1_refugees_total_children,January,total,children,refugees,0,
 Embu,indicator2_all_boys,January,male,children,all,0,
 Embu,indicator2_all_girls,January,female,children,all,0,
 Embu,indicator2_all_total_children,January,total,children,all,0,
 Embu,indicator2_cwd_boys,January,male,children,cwd,0,
 Embu,indicator2_cwd_girls,January,female,children,cwd,0,
 Embu,indicator2_cwd_total_children,January,total,children,cwd,0,
 Embu,indicator2_host_community_boys,January,male,children,host_community,0,
 Embu,indicator2_host_community_girls,January,female,children,host_community,0,
 Embu,indicator2_host_community_total_children,January,total,children,host_community,0,
 Embu,indicator2_idps_boys,January,male,children,idps,0,
 Embu,indicator2_idps_girls,January,female,children,idps,0,
 Embu,indicator2_idps_total_children,January,total,children,idps,0,
 Embu,indicator2_narrative,January,NA,NA,NA,0,NA
 Embu,indicator2_new_classrooms,January,NA,NA,NA,0,
 Embu,indicator2_new_latrines,January,NA,NA,NA,0,
 Embu,indicator2_refugees_boys,January,male,children,refugees,0,
 Embu,indicator2_refugees_girls,January,female,children,refugees,0,
 Embu,indicator2_refugees_total_children,January,total,children,refugees,0,
 Embu,indicator2_rehabilitated_classrooms,January,NA,NA,NA,0,
 Embu,indicator2_rehabiltated_latrines,January,NA,NA,NA,0,
 Embu,indicator3_all_boys,January,male,children,all,0,
 Embu,indicator3_all_girls,January,female,children,all,0,
 Embu,indicator3_all_total_children,January,total,children,all,0,
 Embu,indicator3_cwd_boys,January,male,children,cwd,0,
 Embu,indicator3_cwd_girls,January,female,children,cwd,0,
 Embu,indicator3_cwd_total_children,January,total,children,cwd,0,
 Embu,indicator3_host_community_boys,January,male,children,host_community,0,
 Embu,indicator3_host_community_girls,January,female,children,host_community,0,
 Embu,indicator3_host_community_total_children,January,total,children,host_community,0,
 Embu,indicator3_idps_boys,January,male,children,idps,0,
 Embu,indicator3_idps_girls,January,female,children,idps,0,
 Embu,indicator3_idps_total_children,January,total,children,idps,0,
 Embu,indicator3_narrative,January,NA,NA,NA,0,NA
 Embu,indicator3_refugees_boys,January,male,children,refugees,0,
 Embu,indicator3_refugees_girls,January,female,children,refugees,0,
 Embu,indicator3_refugees_total_children,January,total,children,refugees,0,
 Embu,indicator4_all_female,January,female,adults,all,0,
 Embu,indicator4_all_male,January,male,adults,all,0,
 Embu,indicator4_all_total_adults,January,total,adults,all,0,
 Embu,indicator4_host_community_female,January,female,adults,host_community,0,
 Embu,indicator4_host_community_male,January,male,adults,host_community,0,
 Embu,indicator4_host_community_total_adults,January,total,adults,host_community,0,
 Embu,indicator4_idps_female,January,female,adults,idps,0,
 Embu,indicator4_idps_male,January,male,adults,idps,0,
 Embu,indicator4_idps_total_adults,January,total,adults,idps,0,
 Embu,indicator4_narrative,January,NA,NA,NA,0,NA
 Embu,indicator4_refugees_female,January,female,adults,refugees,0,
 Embu,indicator4_refugees_male,January,male,adults,refugees,0,
 Embu,indicator4_refugees_total_adults,January,total,adults,refugees,0,
 Embu,indicator5_all_female,January,female,adults,all,0,
 Embu,indicator5_all_male,January,male,adults,all,0,
 Embu,indicator5_all_total_adults,January,total,adults,all,0,
 Embu,indicator5_host_community_female,January,female,adults,host_community,0,
 Embu,indicator5_host_community_male,January,male,adults,host_community,0,
 Embu,indicator5_host_community_total_adults,January,total,adults,host_community,0,
 Embu,indicator5_idps_female,January,female,adults,idps,0,
 Embu,indicator5_idps_male,January,male,adults,idps,0,
 Embu,indicator5_idps_total_adults,January,total,adults,idps,0,
 Embu,indicator5_narrative,January,NA,NA,NA,0,NA
 Embu,indicator5_refugees_female,January,female,adults,refugees,0,
 Embu,indicator5_refugees_male,January,male,adults,refugees,0,
 Embu,indicator5_refugees_total_adults,January,total,adults,refugees,0,
 Embu,indicator6_all_female,January,female,adults,all,0,
 Embu,indicator6_all_male,January,male,adults,all,0,
 Embu,indicator6_all_total_adults,January,total,adults,all,0,
 Embu,indicator6_narrative,January,NA,NA,NA,0,NA
 Embu,indicator7_all_boys,January,male,children,all,0,
 Embu,indicator7_all_girls,January,female,children,all,0,
 Embu,indicator7_all_total_children,January,total,children,all,0,
 Embu,indicator7_cwd_boys,January,male,children,cwd,0,
 Embu,indicator7_cwd_girls,January,female,children,cwd,0,
 Embu,indicator7_cwd_total_children,January,total,children,cwd,0,
 Embu,indicator7_host_community_boys,January,male,children,host_community,0,
 Embu,indicator7_host_community_girls,January,female,children,host_community,0,
 Embu,indicator7_host_community_total_children,January,total,children,host_community,0,
 Embu,indicator7_idps_boys,January,male,children,idps,0,
 Embu,indicator7_idps_girls,January,female,children,idps,0,
 Embu,indicator7_idps_total_children,January,total,children,idps,0,
 Embu,indicator7_narrative,January,NA,NA,NA,0,NA
 Embu,indicator7_refugees_boys,January,male,children,refugees,0,
 Embu,indicator7_refugees_girls,January,female,children,refugees,0,
 Embu,indicator7_refugees_total_children,January,total,children,refugees,0,
 Isiolo,indicator1_all_boys,January,male,children,all,784,
 Isiolo,indicator1_all_girls,January,female,children,all,746,
 Isiolo,indicator1_all_total_children,January,total,children,all,1530,
 Isiolo,indicator1_cwd_boys,January,male,children,cwd,0,
 Isiolo,indicator1_cwd_girls,January,female,children,cwd,0,
 Isiolo,indicator1_cwd_total_children,January,total,children,cwd,0,
 Isiolo,indicator1_host_community_boys,January,male,children,host_community,784,
 Isiolo,indicator1_host_community_girls,January,female,children,host_community,746,
 Isiolo,indicator1_host_community_total_children,January,total,children,host_community,1530,
 Isiolo,indicator1_idps_boys,January,male,children,idps,0,
 Isiolo,indicator1_idps_girls,January,female,children,idps,0,
 Isiolo,indicator1_idps_total_children,January,total,children,idps,0,
 Isiolo,indicator1_narrative,January,NA,NA,NA,0,NA
 Isiolo,indicator1_refugees_boys,January,male,children,refugees,0,
 Isiolo,indicator1_refugees_girls,January,female,children,refugees,0,
 Isiolo,indicator1_refugees_total_children,January,total,children,refugees,0,
 Isiolo,indicator2_all_boys,January,male,children,all,0,
 Isiolo,indicator2_all_girls,January,female,children,all,0,
 Isiolo,indicator2_all_total_children,January,total,children,all,0,
 Isiolo,indicator2_cwd_boys,January,male,children,cwd,0,
 Isiolo,indicator2_cwd_girls,January,female,children,cwd,0,
 Isiolo,indicator2_cwd_total_children,January,total,children,cwd,0,
 Isiolo,indicator2_host_community_boys,January,male,children,host_community,0,
 Isiolo,indicator2_host_community_girls,January,female,children,host_community,0,
 Isiolo,indicator2_host_community_total_children,January,total,children,host_community,0,
 Isiolo,indicator2_idps_boys,January,male,children,idps,0,
 Isiolo,indicator2_idps_girls,January,female,children,idps,0,
 Isiolo,indicator2_idps_total_children,January,total,children,idps,0,
 Isiolo,indicator2_narrative,January,NA,NA,NA,0,NA
 Isiolo,indicator2_new_classrooms,January,NA,NA,NA,0,
 Isiolo,indicator2_new_latrines,January,NA,NA,NA,0,
 Isiolo,indicator2_refugees_boys,January,male,children,refugees,0,
 Isiolo,indicator2_refugees_girls,January,female,children,refugees,0,
 Isiolo,indicator2_refugees_total_children,January,total,children,refugees,0,
 Isiolo,indicator2_rehabilitated_classrooms,January,NA,NA,NA,0,
 Isiolo,indicator2_rehabiltated_latrines,January,NA,NA,NA,0,
 Isiolo,indicator3_all_boys,January,male,children,all,0,
 Isiolo,indicator3_all_girls,January,female,children,all,0,
 Isiolo,indicator3_all_total_children,January,total,children,all,0,
 Isiolo,indicator3_cwd_boys,January,male,children,cwd,0,
 Isiolo,indicator3_cwd_girls,January,female,children,cwd,0,
 Isiolo,indicator3_cwd_total_children,January,total,children,cwd,0,
 Isiolo,indicator3_host_community_boys,January,male,children,host_community,0,
 Isiolo,indicator3_host_community_girls,January,female,children,host_community,0,
 Isiolo,indicator3_host_community_total_children,January,total,children,host_community,0,
 Isiolo,indicator3_idps_boys,January,male,children,idps,0,
 Isiolo,indicator3_idps_girls,January,female,children,idps,0,
 Isiolo,indicator3_idps_total_children,January,total,children,idps,0,
 Isiolo,indicator3_narrative,January,NA,NA,NA,0,NA
 Isiolo,indicator3_refugees_boys,January,male,children,refugees,0,
 Isiolo,indicator3_refugees_girls,January,female,children,refugees,0,
 Isiolo,indicator3_refugees_total_children,January,total,children,refugees,0,
 Isiolo,indicator4_all_female,January,female,adults,all,0,
 Isiolo,indicator4_all_male,January,male,adults,all,0,
 Isiolo,indicator4_all_total_adults,January,total,adults,all,0,
 Isiolo,indicator4_host_community_female,January,female,adults,host_community,0,
 Isiolo,indicator4_host_community_male,January,male,adults,host_community,0,
 Isiolo,indicator4_host_community_total_adults,January,total,adults,host_community,0,
 Isiolo,indicator4_idps_female,January,female,adults,idps,0,
 Isiolo,indicator4_idps_male,January,male,adults,idps,0,
 Isiolo,indicator4_idps_total_adults,January,total,adults,idps,0,
 Isiolo,indicator4_narrative,January,NA,NA,NA,0,NA
 Isiolo,indicator4_refugees_female,January,female,adults,refugees,0,
 Isiolo,indicator4_refugees_male,January,male,adults,refugees,0,
 Isiolo,indicator4_refugees_total_adults,January,total,adults,refugees,0,
 Isiolo,indicator5_all_female,January,female,adults,all,81,
 Isiolo,indicator5_all_male,January,male,adults,all,94,
 Isiolo,indicator5_all_total_adults,January,total,adults,all,175,
 Isiolo,indicator5_host_community_female,January,female,adults,host_community,81,
 Isiolo,indicator5_host_community_male,January,male,adults,host_community,94,
 Isiolo,indicator5_host_community_total_adults,January,total,adults,host_community,175,
 Isiolo,indicator5_idps_female,January,female,adults,idps,0,
 Isiolo,indicator5_idps_male,January,male,adults,idps,0,
 Isiolo,indicator5_idps_total_adults,January,total,adults,idps,0,
 Isiolo,indicator5_narrative,January,NA,NA,NA,0,NA
 Isiolo,indicator5_refugees_female,January,female,adults,refugees,0,
 Isiolo,indicator5_refugees_male,January,male,adults,refugees,0,
 Isiolo,indicator5_refugees_total_adults,January,total,adults,refugees,0,
 Isiolo,indicator6_all_female,January,female,adults,all,0,
 Isiolo,indicator6_all_male,January,male,adults,all,0,
 Isiolo,indicator6_all_total_adults,January,total,adults,all,0,
 Isiolo,indicator6_narrative,January,NA,NA,NA,0,NA
 Isiolo,indicator7_all_boys,January,male,children,all,313,
 Isiolo,indicator7_all_girls,January,female,children,all,369,
 Isiolo,indicator7_all_total_children,January,total,children,all,682,
 Isiolo,indicator7_cwd_boys,January,male,children,cwd,0,
 Isiolo,indicator7_cwd_girls,January,female,children,cwd,0,
 Isiolo,indicator7_cwd_total_children,January,total,children,cwd,0,
 Isiolo,indicator7_host_community_boys,January,male,children,host_community,313,
 Isiolo,indicator7_host_community_girls,January,female,children,host_community,369,
 Isiolo,indicator7_host_community_total_children,January,total,children,host_community,682,
 Isiolo,indicator7_idps_boys,January,male,children,idps,0,
 Isiolo,indicator7_idps_girls,January,female,children,idps,0,
 Isiolo,indicator7_idps_total_children,January,total,children,idps,0,
 Isiolo,indicator7_narrative,January,NA,NA,NA,0,"3 sessions conducted for conversation on ender, GBV,PSEA and Lifeskills"
 Isiolo,indicator7_refugees_boys,January,male,children,refugees,0,
 Isiolo,indicator7_refugees_girls,January,female,children,refugees,0,
 Isiolo,indicator7_refugees_total_children,January,total,children,refugees,0,
 Kajiado,indicator1_all_boys,January,male,children,all,0,
 Kajiado,indicator1_all_girls,January,female,children,all,0,
 Kajiado,indicator1_all_total_children,January,total,children,all,0,
 Kajiado,indicator1_cwd_boys,January,male,children,cwd,0,
 Kajiado,indicator1_cwd_girls,January,female,children,cwd,0,
 Kajiado,indicator1_cwd_total_children,January,total,children,cwd,0,
 Kajiado,indicator1_host_community_boys,January,male,children,host_community,0,
 Kajiado,indicator1_host_community_girls,January,female,children,host_community,0,
 Kajiado,indicator1_host_community_total_children,January,total,children,host_community,0,
 Kajiado,indicator1_idps_boys,January,male,children,idps,0,
 Kajiado,indicator1_idps_girls,January,female,children,idps,0,
 Kajiado,indicator1_idps_total_children,January,total,children,idps,0,
 Kajiado,indicator1_narrative,January,NA,NA,NA,0,NA
 Kajiado,indicator1_refugees_boys,January,male,children,refugees,0,
 Kajiado,indicator1_refugees_girls,January,female,children,refugees,0,
 Kajiado,indicator1_refugees_total_children,January,total,children,refugees,0,
 Kajiado,indicator2_all_boys,January,male,children,all,0,
 Kajiado,indicator2_all_girls,January,female,children,all,0,
 Kajiado,indicator2_all_total_children,January,total,children,all,0,
 Kajiado,indicator2_cwd_boys,January,male,children,cwd,0,
 Kajiado,indicator2_cwd_girls,January,female,children,cwd,0,
 Kajiado,indicator2_cwd_total_children,January,total,children,cwd,0,
 Kajiado,indicator2_host_community_boys,January,male,children,host_community,0,
 Kajiado,indicator2_host_community_girls,January,female,children,host_community,0,
 Kajiado,indicator2_host_community_total_children,January,total,children,host_community,0,
 Kajiado,indicator2_idps_boys,January,male,children,idps,0,
 Kajiado,indicator2_idps_girls,January,female,children,idps,0,
 Kajiado,indicator2_idps_total_children,January,total,children,idps,0,
 Kajiado,indicator2_narrative,January,NA,NA,NA,0,NA
 Kajiado,indicator2_new_classrooms,January,NA,NA,NA,0,
 Kajiado,indicator2_new_latrines,January,NA,NA,NA,0,
 Kajiado,indicator2_refugees_boys,January,male,children,refugees,0,
 Kajiado,indicator2_refugees_girls,January,female,children,refugees,0,
 Kajiado,indicator2_refugees_total_children,January,total,children,refugees,0,
 Kajiado,indicator2_rehabilitated_classrooms,January,NA,NA,NA,0,
 Kajiado,indicator2_rehabiltated_latrines,January,NA,NA,NA,0,
 Kajiado,indicator3_all_boys,January,male,children,all,0,
 Kajiado,indicator3_all_girls,January,female,children,all,0,
 Kajiado,indicator3_all_total_children,January,total,children,all,0,
 Kajiado,indicator3_cwd_boys,January,male,children,cwd,0,
 Kajiado,indicator3_cwd_girls,January,female,children,cwd,0,
 Kajiado,indicator3_cwd_total_children,January,total,children,cwd,0,
 Kajiado,indicator3_host_community_boys,January,male,children,host_community,0,
 Kajiado,indicator3_host_community_girls,January,female,children,host_community,0,
 Kajiado,indicator3_host_community_total_children,January,total,children,host_community,0,
 Kajiado,indicator3_idps_boys,January,male,children,idps,0,
 Kajiado,indicator3_idps_girls,January,female,children,idps,0,
 Kajiado,indicator3_idps_total_children,January,total,children,idps,0,
 Kajiado,indicator3_narrative,January,NA,NA,NA,0,NA
 Kajiado,indicator3_refugees_boys,January,male,children,refugees,0,
 Kajiado,indicator3_refugees_girls,January,female,children,refugees,0,
 Kajiado,indicator3_refugees_total_children,January,total,children,refugees,0,
 Kajiado,indicator4_all_female,January,female,adults,all,0,
 Kajiado,indicator4_all_male,January,male,adults,all,0,
 Kajiado,indicator4_all_total_adults,January,total,adults,all,0,
 Kajiado,indicator4_host_community_female,January,female,adults,host_community,0,
