month,indicator,county,adm1_pcode,reached,sector_reached
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Garissa,KE007,48,48
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Kilifi,KE003,709,709
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Marsabit,KE010,184,184
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Meru,KE012,561,561
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Narok,KE033,395,395
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Samburu,KE025,68,68
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Tana River,KE004,882,882
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Turkana,KE023,80588,80588
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Wajir,KE008,1470,1470
September,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,West Pokot,KE024,5774,5774
September,indicator 2 # of schools/ECD spaces with feeding programmes,Marsabit,KE010,3603,3603
September,indicator 2 # of schools/ECD spaces with feeding programmes,Meru,KE012,6949,6949
September,indicator 2 # of schools/ECD spaces with feeding programmes,Turkana,KE023,22445,22445
September,indicator 3 # of learners and teachers reached with learning and  teaching materials,Marsabit,KE010,618,0
September,indicator 3 # of learners and teachers reached with learning and  teaching materials,Turkana,KE023,14901,0
September,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Marsabit,KE010,4671,0
September,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Turkana,KE023,3820,0
September,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Baringo,KE030,30,30
September,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Marsabit,KE010,22,22
September,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,1532,1532
September,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Wajir,KE008,71,71
September,"indicator 5.1 # of teachers trained on any programme, including resilience",Marsabit,KE010,22,0
September,"indicator 5.1 # of teachers trained on any programme, including resilience",Turkana,KE023,59,0
September,"indicator 5.2 # of BoM trained on any programme, including resilience",Turkana,KE023,66,0
September,"indicator 5.2 # of BoM trained on any programme, including resilience",Wajir,KE008,48,0
September,"indicator 5.3 # of government officials trained on any programme, including resilience",Turkana,KE023,15,0
September,"indicator 5.3 # of government officials trained on any programme, including resilience",West Pokot,KE024,97,0
September,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Garissa,KE007,213,213
September,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kajiado,KE034,3827,3827
September,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kilifi,KE003,2200,2200
September,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Kwale,KE002,495,495
September,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Narok,KE033,3290,3290
September,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Turkana,KE023,2701,2701
September,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",West Pokot,KE024,130,130
