month,county,sub_indicator,value,char_value,sex_modifier,beneficiary_group,age_modifier,unicef_indicator_number,unicef_indicator
Total,Baringo,indicator4_refugees_total_adults,0,0,total,refugees,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_refugees_male,0,0,male,refugees,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_refugees_female,0,0,female,refugees,adults,4,4. Teachers trained resilience programmes
Total,Baringo,indicator4_narrative,NA,-,NA,NA,NA,4,4. Teachers trained resilience programmes
Total,Baringo,indicator5_all_total_adults,1559,1559,total,all,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_all_male,842,842,male,all,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_all_female,717,717,female,all,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_host_community_total_adults,1559,1559,total,host_community,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_host_community_male,842,842,male,host_community,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_host_community_female,717,717,female,host_community,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_idps_total_adults,0,0,total,idps,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_idps_male,0,0,male,idps,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_idps_female,0,0,female,idps,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_refugees_total_adults,0,0,total,refugees,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_refugees_male,0,0,male,refugees,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_refugees_female,0,0,female,refugees,adults,5,5. BoM trained resilience programmes
Total,Baringo,indicator5_narrative,NA,-,NA,NA,NA,5,5. BoM trained resilience programmes
Total,Baringo,indicator6_all_total_adults,0,0,total,all,adults,6,6. Govt. officials trained
Total,Baringo,indicator6_all_male,0,0,male,all,adults,6,6. Govt. officials trained
Total,Baringo,indicator6_all_female,0,0,female,all,adults,6,6. Govt. officials trained
Total,Baringo,indicator6_narrative,NA,-,NA,NA,NA,6,6. Govt. officials trained
Total,Baringo,indicator7_all_total_children,0,0,total,all,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_all_boys,0,0,male,all,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_all_girls,0,0,female,all,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_host_community_total_children,0,0,total,host_community,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_host_community_boys,0,0,male,host_community,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_host_community_girls,0,0,female,host_community,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_idps_total_children,0,0,total,idps,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_idps_boys,0,0,male,idps,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_idps_girls,0,0,female,idps,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_refugees_total_children,0,0,total,refugees,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_refugees_boys,0,0,male,refugees,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_refugees_girls,0,0,female,refugees,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_cwd_total_children,0,0,total,cwd,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_cwd_boys,0,0,male,cwd,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_cwd_girls,0,0,female,cwd,children,7,7. Children life skills mentorship
Total,Baringo,indicator7_narrative,NA,-,NA,NA,NA,7,7. Children life skills mentorship
January,Baringo,indicator1_all_total_children,163,163,total,all,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_all_boys,97,97,male,all,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_all_girls,66,66,female,all,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_host_community_total_children,163,163,total,host_community,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_host_community_boys,97,97,male,host_community,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_host_community_girls,66,66,female,host_community,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_idps_total_children,0,0,total,idps,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_idps_boys,0,0,male,idps,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_idps_girls,0,0,female,idps,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_refugees_total_children,0,0,total,refugees,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_refugees_boys,0,0,male,refugees,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_refugees_girls,0,0,female,refugees,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_cwd_total_children,0,0,total,cwd,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_cwd_boys,0,0,male,cwd,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_cwd_girls,0,0,female,cwd,children,1,1. OOSC accessing formal education
January,Baringo,indicator1_narrative,NA,"NA",NA,NA,NA,1,1. OOSC accessing formal education
January,Baringo,indicator2_all_total_children,0,0,total,all,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_all_boys,0,0,male,all,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_all_girls,0,0,female,all,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_host_community_total_children,0,0,total,host_community,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_host_community_boys,0,0,male,host_community,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_host_community_girls,0,0,female,host_community,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_idps_total_children,0,0,total,idps,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_idps_boys,0,0,male,idps,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_idps_girls,0,0,female,idps,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_refugees_total_children,0,0,total,refugees,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_refugees_boys,0,0,male,refugees,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_refugees_girls,0,0,female,refugees,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_cwd_total_children,0,0,total,cwd,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_cwd_boys,0,0,male,cwd,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_cwd_girls,0,0,female,cwd,children,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_new_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_rehabiltated_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_new_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_rehabilitated_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator2_narrative,NA,"NA",NA,NA,NA,2,2. Children benefiting from child-friendly environment
January,Baringo,indicator3_all_total_children,0,0,total,all,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_all_boys,0,0,male,all,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_all_girls,0,0,female,all,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_host_community_total_children,0,0,total,host_community,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_host_community_boys,0,0,male,host_community,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_host_community_girls,0,0,female,host_community,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_idps_total_children,0,0,total,idps,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_idps_boys,0,0,male,idps,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_idps_girls,0,0,female,idps,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_refugees_total_children,0,0,total,refugees,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_refugees_boys,0,0,male,refugees,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_refugees_girls,0,0,female,refugees,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_cwd_total_children,0,0,total,cwd,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_cwd_boys,0,0,male,cwd,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_cwd_girls,0,0,female,cwd,children,3,3. Children who receive assistance to continue learning
January,Baringo,indicator3_narrative,NA,"NA",NA,NA,NA,3,3. Children who receive assistance to continue learning
January,Baringo,indicator4_all_total_adults,0,0,total,all,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_all_male,0,0,male,all,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_all_female,0,0,female,all,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_host_community_total_adults,0,0,total,host_community,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_host_community_male,0,0,male,host_community,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_host_community_female,0,0,female,host_community,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_idps_total_adults,0,0,total,idps,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_idps_male,0,0,male,idps,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_idps_female,0,0,female,idps,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_refugees_total_adults,0,0,total,refugees,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_refugees_male,0,0,male,refugees,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_refugees_female,0,0,female,refugees,adults,4,4. Teachers trained resilience programmes
January,Baringo,indicator4_narrative,NA,"NA",NA,NA,NA,4,4. Teachers trained resilience programmes
January,Baringo,indicator5_all_total_adults,133,133,total,all,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_all_male,105,105,male,all,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_all_female,28,28,female,all,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_host_community_total_adults,133,133,total,host_community,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_host_community_male,105,105,male,host_community,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_host_community_female,28,28,female,host_community,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_idps_total_adults,0,0,total,idps,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_idps_male,0,0,male,idps,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_idps_female,0,0,female,idps,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_refugees_total_adults,0,0,total,refugees,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_refugees_male,0,0,male,refugees,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_refugees_female,0,0,female,refugees,adults,5,5. BoM trained resilience programmes
January,Baringo,indicator5_narrative,NA,"To support Board of Management (BoMs) in implementing school-based strategy and sustainability plan towards enrolment and retention, QASO Officers in Baringo County were supported to conduct school assessment and there after provide recommendation before rolling out training for the BOM members. BOM members were then trained especially on their roles and responsibilities, and enrollment of OOSC.",NA,NA,NA,5,5. BoM trained resilience programmes
January,Baringo,indicator6_all_total_adults,0,0,total,all,adults,6,6. Govt. officials trained
January,Baringo,indicator6_all_male,0,0,male,all,adults,6,6. Govt. officials trained
January,Baringo,indicator6_all_female,0,0,female,all,adults,6,6. Govt. officials trained
January,Baringo,indicator6_narrative,NA,"NA",NA,NA,NA,6,6. Govt. officials trained
January,Baringo,indicator7_all_total_children,0,0,total,all,children,7,7. Children life skills mentorship
January,Baringo,indicator7_all_boys,0,0,male,all,children,7,7. Children life skills mentorship
January,Baringo,indicator7_all_girls,0,0,female,all,children,7,7. Children life skills mentorship
January,Baringo,indicator7_host_community_total_children,0,0,total,host_community,children,7,7. Children life skills mentorship
January,Baringo,indicator7_host_community_boys,0,0,male,host_community,children,7,7. Children life skills mentorship
January,Baringo,indicator7_host_community_girls,0,0,female,host_community,children,7,7. Children life skills mentorship
January,Baringo,indicator7_idps_total_children,0,0,total,idps,children,7,7. Children life skills mentorship
January,Baringo,indicator7_idps_boys,0,0,male,idps,children,7,7. Children life skills mentorship
January,Baringo,indicator7_idps_girls,0,0,female,idps,children,7,7. Children life skills mentorship
January,Baringo,indicator7_refugees_total_children,0,0,total,refugees,children,7,7. Children life skills mentorship
January,Baringo,indicator7_refugees_boys,0,0,male,refugees,children,7,7. Children life skills mentorship
January,Baringo,indicator7_refugees_girls,0,0,female,refugees,children,7,7. Children life skills mentorship
January,Baringo,indicator7_cwd_total_children,0,0,total,cwd,children,7,7. Children life skills mentorship
January,Baringo,indicator7_cwd_boys,0,0,male,cwd,children,7,7. Children life skills mentorship
January,Baringo,indicator7_cwd_girls,0,0,female,cwd,children,7,7. Children life skills mentorship
January,Baringo,indicator7_narrative,NA,"NA",NA,NA,NA,7,7. Children life skills mentorship
February,Baringo,indicator1_all_total_children,0,0,total,all,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_all_boys,0,0,male,all,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_all_girls,0,0,female,all,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_host_community_total_children,0,0,total,host_community,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_host_community_boys,0,0,male,host_community,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_host_community_girls,0,0,female,host_community,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_idps_total_children,0,0,total,idps,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_idps_boys,0,0,male,idps,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_idps_girls,0,0,female,idps,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_refugees_total_children,0,0,total,refugees,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_refugees_boys,0,0,male,refugees,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_refugees_girls,0,0,female,refugees,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_cwd_total_children,0,0,total,cwd,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_cwd_boys,0,0,male,cwd,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_cwd_girls,0,0,female,cwd,children,1,1. OOSC accessing formal education
February,Baringo,indicator1_narrative,NA,"NA",NA,NA,NA,1,1. OOSC accessing formal education
February,Baringo,indicator2_all_total_children,0,0,total,all,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_all_boys,0,0,male,all,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_all_girls,0,0,female,all,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_host_community_total_children,0,0,total,host_community,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_host_community_boys,0,0,male,host_community,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_host_community_girls,0,0,female,host_community,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_idps_total_children,0,0,total,idps,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_idps_boys,0,0,male,idps,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_idps_girls,0,0,female,idps,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_refugees_total_children,0,0,total,refugees,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_refugees_boys,0,0,male,refugees,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_refugees_girls,0,0,female,refugees,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_cwd_total_children,0,0,total,cwd,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_cwd_boys,0,0,male,cwd,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_cwd_girls,0,0,female,cwd,children,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_new_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_rehabiltated_latrines,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_new_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_rehabilitated_classrooms,0,0,NA,NA,NA,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator2_narrative,NA,"NA",NA,NA,NA,2,2. Children benefiting from child-friendly environment
February,Baringo,indicator3_all_total_children,0,0,total,all,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_all_boys,0,0,male,all,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_all_girls,0,0,female,all,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_host_community_total_children,0,0,total,host_community,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_host_community_boys,0,0,male,host_community,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_host_community_girls,0,0,female,host_community,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_idps_total_children,0,0,total,idps,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_idps_boys,0,0,male,idps,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_idps_girls,0,0,female,idps,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_refugees_total_children,0,0,total,refugees,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_refugees_boys,0,0,male,refugees,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_refugees_girls,0,0,female,refugees,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_cwd_total_children,0,0,total,cwd,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_cwd_boys,0,0,male,cwd,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_cwd_girls,0,0,female,cwd,children,3,3. Children who receive assistance to continue learning
February,Baringo,indicator3_narrative,NA,"NA",NA,NA,NA,3,3. Children who receive assistance to continue learning
February,Baringo,indicator4_all_total_adults,0,0,total,all,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_all_male,0,0,male,all,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_all_female,0,0,female,all,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_host_community_total_adults,0,0,total,host_community,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_host_community_male,0,0,male,host_community,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_host_community_female,0,0,female,host_community,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_idps_total_adults,0,0,total,idps,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_idps_male,0,0,male,idps,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_idps_female,0,0,female,idps,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_refugees_total_adults,0,0,total,refugees,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_refugees_male,0,0,male,refugees,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_refugees_female,0,0,female,refugees,adults,4,4. Teachers trained resilience programmes
February,Baringo,indicator4_narrative,NA,"NA",NA,NA,NA,4,4. Teachers trained resilience programmes
February,Baringo,indicator5_all_total_adults,0,0,total,all,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_all_male,0,0,male,all,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_all_female,0,0,female,all,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_host_community_total_adults,0,0,total,host_community,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_host_community_male,0,0,male,host_community,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_host_community_female,0,0,female,host_community,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_idps_total_adults,0,0,total,idps,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_idps_male,0,0,male,idps,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_idps_female,0,0,female,idps,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_refugees_total_adults,0,0,total,refugees,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_refugees_male,0,0,male,refugees,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_refugees_female,0,0,female,refugees,adults,5,5. BoM trained resilience programmes
February,Baringo,indicator5_narrative,NA,"NA",NA,NA,NA,5,5. BoM trained resilience programmes
February,Baringo,indicator6_all_total_adults,0,0,total,all,adults,6,6. Govt. officials trained
February,Baringo,indicator6_all_male,0,0,male,all,adults,6,6. Govt. officials trained
February,Baringo,indicator6_all_female,0,0,female,all,adults,6,6. Govt. officials trained
February,Baringo,indicator6_narrative,NA,"NA",NA,NA,NA,6,6. Govt. officials trained
February,Baringo,indicator7_all_total_children,0,0,total,all,children,7,7. Children life skills mentorship
February,Baringo,indicator7_all_boys,0,0,male,all,children,7,7. Children life skills mentorship
February,Baringo,indicator7_all_girls,0,0,female,all,children,7,7. Children life skills mentorship
February,Baringo,indicator7_host_community_total_children,0,0,total,host_community,children,7,7. Children life skills mentorship
February,Baringo,indicator7_host_community_boys,0,0,male,host_community,children,7,7. Children life skills mentorship
February,Baringo,indicator7_host_community_girls,0,0,female,host_community,children,7,7. Children life skills mentorship
February,Baringo,indicator7_idps_total_children,0,0,total,idps,children,7,7. Children life skills mentorship
February,Baringo,indicator7_idps_boys,0,0,male,idps,children,7,7. Children life skills mentorship
February,Baringo,indicator7_idps_girls,0,0,female,idps,children,7,7. Children life skills mentorship
February,Baringo,indicator7_refugees_total_children,0,0,total,refugees,children,7,7. Children life skills mentorship
February,Baringo,indicator7_refugees_boys,0,0,male,refugees,children,7,7. Children life skills mentorship
February,Baringo,indicator7_refugees_girls,0,0,female,refugees,children,7,7. Children life skills mentorship
February,Baringo,indicator7_cwd_total_children,0,0,total,cwd,children,7,7. Children life skills mentorship
