month,lead_organisation,organisation_type,donor,sector,education_level,monitoring_indicator,main_activity,implementing_partner,county,sub_county,names_numbers_schools,start_date,end_date,activity_status,boys,girls,men,women,beneficiary_type,total_reached,comments
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Teachers have been trained on mentorship, MHPSS, life skills and child protection.",Lifeskills Promoters,Turkana,"Turkana Central 
Loima",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,NA,NA,126,52,Vulnerable Residents,178,NA
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","School board of management and enrollment drive committees sensitized on their role on enrolment and retention of learners.
",Finn Church Aid,Turkana,"Turkana south 
Turkana East",NA,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,NA,NA,286,144,Vulnerable Residents,430,NA
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Psycho-social support and mentorship for learners was conducted in schools in Turkana south 400 Girls and 320 Boys,Finn Church Aid,Turkana,"Turkana south 
Turkana East","Lokichar girls
Nalemsekon
Kamarese
Kaekunyuk
Kalemngorok
Lokapel
Integratted
Katilu mixed 
Ekoropu",2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,400,320,NA,NA,Vulnerable Residents,720,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC in Samburu East and Central through door to door campaigns led by EDCs at the community level towards improved re-enrolment.,Lifeskills Promoters,Turkana,"Turkana Central 
Loima",NA,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,643,517,NA,NA,Vulnerable Residents,1160,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC in Samburu East and Central through door to door campaigns led by EDCs at the community level towards improved re-enrolment.,Save the Children,Turkana,Turkana West,NA,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,28,9,NA,NA,Vulnerable Residents,37,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC through door to door campaigns led by EDCs at the community level towards improved re-enrolment.,Finn Church Aid,West Pokot,"Pokot North
Pokot Central 
Kacheliba",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,28,16,NA,NA,Vulnerable Residents,44,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mapping and identification of out of school children with disabilities.,Special Olympics Kenya,West Pokot,"Pokot North 
Kacheliba
Pokot West",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,NA,NA,200,150,Vulnerable Residents,350,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC through door to door campaigns led by EDCs at the community level towards improved re-enrolment.,Finn Church Aid,West Pokot,"Kacheliba
Pokot North
Pokot Central",NA,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,559,664,NA,NA,Vulnerable Residents,1223,NA
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Board of Management (BOM) were trained on their roles and responsibilities, functions, and the development of a School Improvement Plan (SIP).
",Finn Church Aid,West Pokot,Pokot Central,NA,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,NA,NA,15,36,NA,51,NA
June,Lifeskills Promoters,National NGO,UNICEF - Operation Come to School,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, Identification and enrollment of School Children back to School.",Lifeskills Promoters,Turkana,Loima,41,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Ongoing,141,178,0,0,Vulnerable Residents,319,NA
June,Lifeskills Promoters,National NGO,UNICEF - Operation Come to School,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,"Mobilization, Identification and enrollment of School Children back to School.",Lifeskills Promoters,Turkana,Turkana Central,59,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Ongoing,478,442,0,0,Vulnerable Residents,920,NA
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",60,NA,NA,Completed,210,231,NA,NA,NA,441,Enrolment of OOSC back to school
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Training of children on  child protection, child rights, gender norms, GBV and  PSEA",Finn Church Aid,Marsabit,"Marsabit central, Loyangalani, Sololo and Chalbi",60,NA,NA,Completed,134,154,NA,NA,NA,288,Training of leaners on child protection and GBV issues.
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Lifeskills Promoters,Isiolo,"Isiolo central, Merti,Garbatulla, Oldonyiro, Cherab, Sericho",NA,NA,NA,Completed,283,278,NA,NA,NA,561,Enrolment of OOSC back to school
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Save the Children,Wajir,"Buna, Eladas, South, Habaswein, Korandile, Bute",135,NA,NA,Completed,181,141,NA,NA,NA,322,Enrolment of OOSC back to school
June,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",MHPSS support for learners,Save the Children,Wajir,NA,135,NA,NA,Completed,293,128,NA,NA,NA,421,Learners provided Mental Health and Psychosocial Service (MHPSS) and protection services
June,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Women Educational Researchers of Kenya,Tana River,"Tana River, Tana North, Bangal",66,NA,NA,Completed,229,161,NA,NA,NA,390,Enrolment of OOSC back to school
June,Qatar Charity,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Mobilization of OOSC back to school,Qatar Charity,Garissa,Garissa Township,29,NA,NA,Completed,802,739,NA,NA,NA,1541,Enrolment of OOSC back to school
