county,indicator_short,April,February,January,March,May,June,county_target
Wajir,2. Feeding programmes,NA,NA,NA,NA,NA,NA,152
Wajir,2. Feeding programmes,NA,NA,NA,NA,NA,NA,37082
Wajir,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,152
Wajir,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,37082
Samburu,2. Feeding programmes,NA,NA,NA,NA,NA,NA,108
Samburu,2. Feeding programmes,NA,NA,NA,NA,NA,NA,23562
Samburu,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,108
Samburu,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,23562
Isiolo,2. Feeding programmes,NA,NA,NA,NA,NA,NA,31
Isiolo,2. Feeding programmes,NA,NA,NA,NA,NA,NA,6983
Isiolo,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,31
Isiolo,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,6983
Tana River,2. Feeding programmes,NA,NA,NA,NA,NA,NA,61
Tana River,2. Feeding programmes,NA,NA,NA,NA,NA,NA,16506
Tana River,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,61
Tana River,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,16506
Kitui,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,16365
Kitui,2. Feeding programmes,NA,NA,NA,NA,NA,NA,696
Kitui,2. Feeding programmes,NA,NA,NA,NA,NA,NA,133912
Kitui,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,696
Kitui,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,133912
Makueni,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,8555
Makueni,2. Feeding programmes,NA,NA,NA,NA,NA,NA,463
Makueni,2. Feeding programmes,NA,NA,NA,NA,NA,NA,115084
Makueni,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,463
Makueni,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,115084
Laikipia,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,0
Laikipia,2. Feeding programmes,NA,NA,NA,NA,NA,NA,0
Laikipia,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA
Laikipia,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,0
Laikipia,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA
Meru,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,0
Tharaka Nithi,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,0
Tharaka Nithi,2. Feeding programmes,NA,NA,NA,NA,NA,NA,0
Tharaka Nithi,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA
Tharaka Nithi,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,0
Tharaka Nithi,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA
West Pokot,2. Feeding programmes,NA,NA,NA,NA,NA,NA,201
West Pokot,2. Feeding programmes,NA,NA,NA,NA,NA,NA,51693
West Pokot,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,201
West Pokot,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,51693
Kwale,2. Feeding programmes,NA,NA,NA,NA,NA,NA,132
Kwale,2. Feeding programmes,NA,NA,NA,NA,NA,NA,55580
Kwale,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,132
Kwale,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,55580
Narok,2. Feeding programmes,NA,NA,NA,NA,NA,NA,328
Narok,2. Feeding programmes,NA,NA,NA,NA,NA,NA,113680
Kilifi,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,0
Kilifi,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA
Lamu,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,0
Lamu,2. Feeding programmes,NA,NA,NA,NA,NA,NA,0
Lamu,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA
Nyeri,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,0
Nyeri,2. Feeding programmes,NA,NA,NA,NA,NA,NA,0
Nyeri,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA
Nyeri,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,0
Nyeri,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA
Kajiado,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,0
Kajiado,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA
Embu,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,0
Embu,2. Feeding programmes,NA,NA,NA,NA,NA,NA,0
Embu,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA
Embu,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,0
Embu,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA
Taita Taveta,2. Feeding programmes,NA,NA,NA,NA,NA,NA,0
Taita Taveta,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA
Taita Taveta,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,0
Taita Taveta,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA
