county,month,indicator1_all_total,indicator1_all_boys,indicator1_all_girls,indicator1_host_community_total,indicator1_host_community_boys,indicator1_host_community_girls,indicator1_idps_total,indicator1_idps_boys,indicator1_idps_girls,indicator1_refugees_total,indicator1_refugees_boys,indicator1_refugees_girls,indicator1_cwd_total,indicator1_cwd_boys,indicator1_cwd_girls,indicator1_narrative,indicator2_all_total,indicator2_all_boys,indicator2_all_girls,indicator2_host_community_total,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_idps_total,indicator2_idps_boys,indicator2_idps_girls,indicator2_refugees_total,indicator2_refugees_boys,indicator2_refugees_girls,indicator2_cwd_total,indicator2_cwd_boys,indicator2_cwd_girls,indicator2_new_latrines,indicator2_rehabiltated_latrines,indicator2_new_classrooms,indicator2_rehabilitated_classrooms,indicator2_narrative,indicator3_all_total,indicator3_all_boys,indicator3_all_girls,indicator3_host_community_total,indicator3_host_community_boys,indicator3_host_community_girls,indicator3_idps_total,indicator3_idps_boys,indicator3_idps_girls,indicator3_refugees_total,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_total,indicator3_cwd_boys,indicator3_cwd_girls,indicator3_narrative,indicator4_all_total,indicator4_all_male,indicator4_all_female,indicator4_host_community_total,indicator4_host_community_male,indicator4_host_community_female,indicator4_idps_total,indicator4_idps_male,indicator4_idps_female,indicator4_refugees_total,indicator4_refugees_male,indicator4_refugees_female,indicator4_narrative,indicator5_all_total,indicator5_all_male,indicator5_all_female,indicator5_host_community_total,indicator5_host_community_male,indicator5_host_community_female,indicator5_idps_total,indicator5_idps_male,indicator5_idps_female,indicator5_refugees_total,indicator5_refugees_male,indicator5_refugees_female,indicator5_narrative,indicator6_all_total,indicator6_all_male,indicator6_all_female,indicator6_narrative,indicator7_all_total,indicator7_all_boys,indicator7_all_girls,indicator7_host_community_total,indicator7_host_community_boys,indicator7_host_community_girls,indicator7_idps_total,indicator7_idps_boys,indicator7_idps_girls,indicator7_refugees_total,indicator7_refugees_boys,indicator7_refugees_girls,indicator7_cwd_total,indicator7_cwd_boys,indicator7_cwd_girls,indicator7_narrative
 Bungoma,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Bungoma,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Embu,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Embu,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Embu,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Embu,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Embu,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Embu,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Garissa,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,188,106,82,188,106,82,0,NA,NA,0,NA,NA,Enrollment drive committee members sanitized on mobilization and retention of OOSC in Garissa sub-county,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Garissa,Feb,1242,575,667,1242,575,667,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Garissa,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Garissa,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Garissa,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Garissa,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Homa Bay,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Homa Bay,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Homa Bay,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Homa Bay,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Homa Bay,May,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
Homa Bay,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Isiolo,Jan,1530,784,746,1530,784,746,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,175,94,81,175,94,81,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,682,313,369,682,313,369,0,NA,NA,0,NA,NA,0,NA,NA,"3 sessions conducted for conversation on ender, GBV,PSEA and Lifeskills"
 Isiolo,Feb,158,101,57,158,101,57,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Isiolo,Mar,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Isiolo,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Isiolo,May,833,414,419,0,414,419,0,NA,NA,0,NA,NA,0,NA,NA,Lifeskills Promoters (LISP) with support from UNICEF continued to mobilize children back to school in Isiolo County in collaboration with the County Education office,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,71,28,43,71,28,43,0,NA,NA,0,NA,NA,Training of teachers provision of remidial/catch up classess and on retention and tracking of OOSC enrolled back to school (DAA),0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Isiolo,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kajiado,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kajiado,Feb,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kajiado,Mar,1094,560,534,1094,560,534,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,83,27,56,83,27,56,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,2097,1112,985,2097,1112,985,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kajiado,Apr,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kajiado,May,1926,987,939,1926,987,939,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,3288,910,2378,3288,910,2378,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kajiado,Jun,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
 Kilifi,Jan,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
